scene,time,controllerLocationX,controllerLocationY,controllerLocationZ,controllerRotationX,controllerRotationY,controllerRotationZ,controllerRotationW,controllerRotationEulerX,controllerRotationEulerY,controllerRotationEulerZ
0,0,-1.14379,0.995159,-0.4249546,0.2060776,-0.9680704,-0.07728809,0.1199942,354.2502,195.3976,335.1872
0,0.0119048,-1.144015,0.9948295,-0.4250057,0.205873,-0.9680429,-0.07717463,0.1206389,354.2756,195.4664,335.2097
0,0.0238096,-1.144216,0.9946535,-0.4250863,0.2059264,-0.968001,-0.07683964,0.1210949,354.3248,195.5094,335.2071
0,0.0421072,-1.144476,0.994393,-0.425096,0.2066675,-0.9677906,-0.07639568,0.1217937,354.4031,195.5809,335.1252
0,0.0548394,-1.144672,0.9938629,-0.4250741,0.2066926,-0.9677465,-0.07534324,0.1227537,354.544,195.6618,335.1367
0,0.0693516,-1.144888,0.9935906,-0.4251548,0.2066249,-0.9677437,-0.07443071,0.1234439,354.6611,195.7153,335.1579
0,0.0813499,-1.145077,0.9931635,-0.4252419,0.2068846,-0.9676521,-0.07376682,0.1241245,354.7557,195.7761,335.1366
0,0.0936882,-1.145352,0.9929488,-0.4253011,0.207609,-0.9674382,-0.07332294,0.1248426,354.8344,195.8494,335.0569
0,0.1059011,-1.145559,0.9928228,-0.4253462,0.2077042,-0.9673585,-0.07326207,0.1253368,354.8551,195.9041,335.0445
0,0.1180468,-1.145686,0.9927239,-0.425407,0.2072718,-0.9673973,-0.07333313,0.125711,354.8495,195.9462,335.0918
0,0.1307059,-1.145793,0.9927113,-0.4254258,0.2067455,-0.9674864,-0.07353803,0.1257719,354.8198,195.9558,335.1489
0,0.1434113,-1.145912,0.9926635,-0.4254412,0.2063236,-0.9675503,-0.07367463,0.1258936,354.8008,195.971,335.1949
0,0.1549041,-1.146022,0.9926593,-0.4254301,0.2062731,-0.9675262,-0.07396227,0.1259935,354.7707,195.9896,335.1949
0,0.1672062,-1.146142,0.9926543,-0.4254006,0.2059733,-0.9675594,-0.07410175,0.1261463,354.7541,196.009,335.2264
0,0.1794831,-1.146296,0.9925549,-0.4253449,0.2060739,-0.9675128,-0.07392292,0.1264437,354.7829,196.0385,335.2166
0,0.1929985,-1.146549,0.9924945,-0.4252807,0.2061808,-0.9674789,-0.07370175,0.1266578,354.8145,196.0574,335.2072
0,0.2153624,-1.14677,0.9924755,-0.4251981,0.2068487,-0.967307,-0.07371067,0.1268764,354.8299,196.0859,335.1283
0,0.2369889,-1.146947,0.9925337,-0.4251304,0.2067556,-0.9672663,-0.07384174,0.1272616,354.8235,196.1325,335.1348
0,0.2600067,-1.147162,0.9926096,-0.4250185,0.2065164,-0.9672585,-0.07405774,0.1275836,354.8036,196.1734,335.157
0,0.282881,-1.14728,0.9926167,-0.4249581,0.2063497,-0.9672489,-0.07430337,0.1277825,354.7786,196.2016,335.1708
0,0.3039421,-1.147439,0.9926564,-0.4248545,0.2058523,-0.9673133,-0.0745604,0.1279479,354.7461,196.2245,335.223
0,0.3264009,-1.147558,0.9925489,-0.4248179,0.2061481,-0.9672146,-0.07434162,0.1283449,354.785,196.2652,335.1908
0,0.3497409,-1.147573,0.9924618,-0.4247611,0.2063875,-0.9671639,-0.07428486,0.1283752,354.7961,196.2684,335.1638
0,0.3713353,-1.1476,0.9923972,-0.4246764,0.2064547,-0.9671668,-0.0742012,0.1282939,354.8044,196.2573,335.158
0,0.3936946,-1.147486,0.9922243,-0.4246418,0.206652,-0.9671392,-0.07402566,0.1282851,354.8269,196.2527,335.1384
0,0.416535,-1.147365,0.9920616,-0.4245994,0.2063062,-0.9672344,-0.07366364,0.1283322,354.8624,196.2467,335.1852
0,0.4375017,-1.147245,0.9919527,-0.4245474,0.2069003,-0.9671388,-0.07365238,0.128103,354.8677,196.2234,335.1175
0,0.4609116,-1.147069,0.9917951,-0.4244232,0.2073405,-0.9671638,-0.07370079,0.1271707,354.8464,196.1215,335.0698
0,0.4838666,-1.146878,0.9916564,-0.4244194,0.2069302,-0.9673201,-0.07355392,0.1267347,354.845,196.0661,335.1224
0,0.5069552,-1.146807,0.9914249,-0.4244545,0.2068611,-0.9673514,-0.07293604,0.1269658,354.918,196.0755,335.1409
0,0.5273518,-1.146869,0.991298,-0.4244541,0.2072461,-0.9672768,-0.07261474,0.12709,354.963,196.0831,335.1015
0,0.5494881,-1.146815,0.991213,-0.4244659,0.206971,-0.9673676,-0.07232583,0.1270115,354.9885,196.0651,335.1393
0,0.572536,-1.146813,0.9912138,-0.4246292,0.2077892,-0.9672348,-0.07209311,0.1268194,355.0229,196.0413,335.0493
0,0.5943973,-1.146862,0.9912742,-0.4246428,0.2077958,-0.9672619,-0.07197599,0.1266684,355.0321,196.0212,335.0514
0,0.6168086,-1.146968,0.9913628,-0.4246162,0.207351,-0.9673023,-0.07226208,0.1269255,354.9996,196.0556,335.0966
0,0.6391788,-1.147106,0.9915401,-0.4246265,0.2075948,-0.9671572,-0.07280037,0.1273247,354.954,196.1163,335.0564
0,0.6613307,-1.147154,0.9916012,-0.424608,0.2075175,-0.9671562,-0.07308383,0.1272961,354.9207,196.1202,335.0602
0,0.6855077,-1.147144,0.9917041,-0.42463,0.2073461,-0.9671912,-0.07323865,0.1272202,354.8988,196.1148,335.0776
0,0.6976812,-1.147201,0.9917023,-0.4246191,0.2076005,-0.9671168,-0.07318735,0.1274001,354.9132,196.1351,335.0481
0,0.7092772,-1.147176,0.9917245,-0.4245325,0.20785,-0.9670546,-0.07307436,0.1275311,354.9331,196.1482,335.0205
0,0.7216178,-1.147156,0.9916728,-0.4245465,0.2078344,-0.9670733,-0.07286295,0.1275348,354.9563,196.1429,335.0263
0,0.7348383,-1.14709,0.9916551,-0.4245501,0.2075027,-0.9671617,-0.07293674,0.1273629,354.9384,196.1238,335.0643
0,0.7476176,-1.146937,0.9916549,-0.4246128,0.206936,-0.9672989,-0.07318451,0.1271006,354.8951,196.0978,335.1269
0,0.7633113,-1.146802,0.9916234,-0.424646,0.206254,-0.9674407,-0.07346407,0.1269678,354.8497,196.0867,335.2017
0,0.7757176,-1.146689,0.9915531,-0.4246807,0.205953,-0.9675257,-0.07350989,0.1267828,354.8351,196.0654,335.2368
0,0.7876915,-1.146571,0.9915249,-0.4247764,0.2059564,-0.9675612,-0.07326499,0.1266471,354.8589,196.0436,335.2416
0,0.7999986,-1.146495,0.9913373,-0.4248278,0.2061467,-0.9675604,-0.07276759,0.1266321,354.9167,196.0297,335.2288
0,0.8128182,-1.146428,0.9911526,-0.4248718,0.2065916,-0.9675041,-0.07208135,0.1267275,355.0023,196.0247,335.1893
0,0.8259504,-1.146387,0.990926,-0.4249204,0.2069227,-0.96747,-0.07138903,0.1268404,355.0871,196.0208,335.1631
0,0.8379347,-1.146318,0.9906776,-0.4249652,0.2067631,-0.9675514,-0.07060699,0.126918,355.173,196.0082,335.1958
0,0.850156,-1.146235,0.990538,-0.4251614,0.2066702,-0.9676084,-0.0702924,0.1268089,355.2036,195.9872,335.2129
0,0.8637892,-1.146173,0.9904273,-0.4252014,0.2067523,-0.967594,-0.07042658,0.1267109,355.1876,195.98,335.2014
0,0.8768262,-1.146091,0.9904267,-0.4250874,0.2065806,-0.9676397,-0.07063884,0.1265237,355.1567,195.9635,335.2183
0,0.889872,-1.146051,0.990417,-0.4250907,0.2065028,-0.9676533,-0.07076542,0.126475,355.1402,195.961,335.2252
0,0.9027215,-1.146056,0.9903725,-0.4250743,0.2066984,-0.9675929,-0.07064215,0.1266864,355.1623,195.9826,335.2037
0,0.9149923,-1.146208,0.9902788,-0.4252529,0.2070855,-0.9674858,-0.07029076,0.1270674,355.2169,196.0183,335.1635
0,0.9269148,-1.146259,0.9902067,-0.425242,0.2072235,-0.9674386,-0.07006826,0.1273249,355.2502,196.0423,335.1504
0,0.9392462,-1.146265,0.9901482,-0.4252363,0.2073983,-0.9674091,-0.06991578,0.1273474,355.2705,196.0416,335.1328
0,0.9515709,-1.146368,0.9901025,-0.4251239,0.2074378,-0.9673833,-0.06982549,0.1275289,355.2857,196.06,335.129
0,0.9641268,-1.146374,0.9900793,-0.4251311,0.2069278,-0.9674668,-0.06982464,0.1277242,355.2823,196.0797,335.1875
0,0.9761196,-1.146405,0.9900744,-0.425124,0.2067227,-0.9674819,-0.06992473,0.1278875,355.2719,196.0998,335.2088
0,0.9882007,-1.14639,0.9901295,-0.4249714,0.2069482,-0.9674319,-0.07008633,0.1278123,355.2559,196.0966,335.1799
0,1.001383,-1.146401,0.9901576,-0.424946,0.207242,-0.9673845,-0.07026525,0.1275964,355.2355,196.0783,335.1434
0,1.016245,-1.146386,0.9902053,-0.4250721,0.2076106,-0.9673705,-0.0703205,0.1270725,355.2224,196.0222,335.1018
0,1.029929,-1.146393,0.9901831,-0.4249997,0.2079382,-0.9672836,-0.0701746,0.1272783,355.249,196.0432,335.0655
0,1.053558,-1.146446,0.9900291,-0.4248891,0.2075537,-0.9673058,-0.06998956,0.1278374,355.2771,196.0997,335.1111
0,1.075127,-1.146321,0.9899483,-0.4249895,0.2066727,-0.9675751,-0.06989318,0.1272792,355.2595,196.0299,335.2179
0,1.09814,-1.146256,0.9898354,-0.4249243,0.2068027,-0.9676239,-0.06986505,0.1267111,355.2506,195.9655,335.2058
0,1.120165,-1.146279,0.9897556,-0.4249421,0.2070004,-0.9676195,-0.06990816,0.1263983,355.2413,195.9322,335.1834
0,1.143109,-1.14638,0.9897381,-0.4249722,0.206892,-0.9676331,-0.06962602,0.1266258,355.2764,195.95,335.2002
0,1.16515,-1.14668,0.9896603,-0.4249147,0.2072514,-0.9674506,-0.06952632,0.1274849,355.3146,196.0462,335.1564
0,1.187069,-1.146871,0.9897428,-0.4248449,0.207048,-0.9673983,-0.07003898,0.1279314,355.2657,196.1093,335.1686
0,1.211345,-1.147,0.9899464,-0.4247388,0.2069582,-0.9673667,-0.07076207,0.1279169,355.1838,196.1263,335.1657
