scene,time,headsetLocationX,headsetLocationY,headsetLocationZ,headsetRotationX,headsetRotationY,headsetRotationZ,headsetRotationW,headsetRotationEulerX,headsetRotationEulerY,headsetRotationEulerZ
0,0,-0.9620399,1.203898,-0.0743019,-0.05676333,-0.9899238,-0.03970016,0.123502,354.6856,193.9482,5.913073
0,0.0119048,-0.9620492,1.203931,-0.07433158,-0.05679577,-0.9899191,-0.03980239,0.1234924,354.6736,193.9464,5.915454
0,0.0238096,-0.9620444,1.203964,-0.07432747,-0.05679276,-0.9899186,-0.03981494,0.1234945,354.6722,193.9466,5.914931
0,0.0421072,-0.9620114,1.203927,-0.07425553,-0.05676304,-0.9899271,-0.03988685,0.1234158,354.6649,193.9373,5.91099
0,0.0548394,-0.9620054,1.203961,-0.07431275,-0.05674267,-0.9899153,-0.03990059,0.1235151,354.663,193.9489,5.907944
0,0.0693516,-0.9620081,1.203988,-0.07429785,-0.05674623,-0.9899189,-0.0399277,0.1234765,354.6601,193.9443,5.908193
0,0.0813499,-0.9620245,1.203959,-0.07420021,-0.05682712,-0.9899169,-0.03999683,0.1234327,354.6514,193.9384,5.916746
0,0.0936882,-0.9620413,1.203987,-0.0742563,-0.05687109,-0.9899062,-0.04011372,0.1234604,354.6373,193.9409,5.920049
0,0.1059011,-0.9620469,1.204031,-0.07423496,-0.05687192,-0.989902,-0.04012342,0.1234907,354.636,193.9443,5.919849
0,0.1180468,-0.9620525,1.204,-0.07413912,-0.0568899,-0.9899009,-0.04024208,0.1234526,354.6225,193.9393,5.920516
0,0.1307059,-0.9620743,1.20406,-0.07414299,-0.0569133,-0.989879,-0.0404059,0.1235638,354.6028,193.9512,5.920383
0,0.1434113,-0.9621003,1.204065,-0.07402521,-0.05688685,-0.989848,-0.04060981,0.1237566,354.5789,193.9727,5.913565
0,0.1549041,-0.9621493,1.204147,-0.07401365,-0.0568329,-0.9898223,-0.04074699,0.1239429,354.5629,193.9939,5.904528
0,0.1672062,-0.9621501,1.20413,-0.07392341,-0.05691342,-0.9897708,-0.04102452,0.1242248,354.5285,194.0248,5.908434
0,0.1794831,-0.9622573,1.204189,-0.07397217,-0.05702259,-0.9897481,-0.0411199,0.1243232,354.5156,194.0352,5.91908
0,0.1929985,-0.9624009,1.204215,-0.07400465,-0.05699182,-0.9897065,-0.04142544,0.1245675,354.4798,194.0622,5.910068
0,0.2153624,-0.9624916,1.204236,-0.07393819,-0.05625957,-0.9896847,-0.04145115,0.1250638,354.4843,194.1235,5.823259
0,0.2369889,-0.9626229,1.20422,-0.07393318,-0.05654148,-0.9896469,-0.04116645,0.1253303,354.5111,194.1542,5.857884
0,0.2600067,-0.9626981,1.204204,-0.07381177,-0.05676037,-0.9896195,-0.04095107,0.1255178,354.5314,194.1757,5.884809
0,0.282881,-0.9628274,1.204202,-0.07372141,-0.05639712,-0.9895905,-0.04127147,0.1258047,354.4984,194.2094,5.83732
0,0.3039421,-0.9629447,1.204171,-0.07365274,-0.0559686,-0.9895406,-0.04157869,0.126286,354.4667,194.266,5.781448
0,0.3264009,-0.9630502,1.204154,-0.0736081,-0.05586485,-0.9895184,-0.04143179,0.1265539,354.4834,194.2983,5.770125
0,0.3497409,-0.9631504,1.204084,-0.07347816,-0.05586089,-0.9894898,-0.04138679,0.1267944,354.4871,194.3263,5.768957
0,0.3713353,-0.9632446,1.20411,-0.07343996,-0.05573747,-0.9894537,-0.04150075,0.1270929,354.4742,194.361,5.751614
0,0.3936946,-0.963263,1.204159,-0.07341421,-0.05559098,-0.9894102,-0.04166448,0.1274409,354.4557,194.4014,5.730658
0,0.416535,-0.9633517,1.204193,-0.07337886,-0.05563775,-0.9894017,-0.04167848,0.1274825,354.4532,194.4059,5.735575
0,0.4375017,-0.9633904,1.204252,-0.07335943,-0.05581791,-0.9893709,-0.04189105,0.1275731,354.4259,194.4145,5.752695
0,0.4609116,-0.9634928,1.204281,-0.0732823,-0.05529762,-0.9893531,-0.04238314,0.1277756,354.3763,194.4386,5.685243
0,0.4838666,-0.9635477,1.204282,-0.07324016,-0.05515749,-0.989333,-0.04251358,0.1279468,354.3625,194.4587,5.666437
0,0.5069552,-0.9635794,1.204307,-0.07320893,-0.05542049,-0.9893295,-0.04236055,0.1279123,354.3763,194.4539,5.698822
0,0.5273518,-0.9636089,1.204349,-0.07317597,-0.05559543,-0.9893306,-0.04250443,0.1277793,354.3582,194.4369,5.717562
0,0.5494881,-0.9636365,1.204358,-0.07316983,-0.05542117,-0.9893091,-0.04260845,0.1279874,354.3477,194.4615,5.695011
