scene,time,locationX,locationY,locationZ
0,0,0.005000114,0.01755977,0.05327645
0,0.0117935,0.005000114,0.01675129,0.04758874
0,0.023587,0.005000114,0.01107144,0.04359344
0,0.0398114,0.005000114,0.006524324,0.04454201
0,0.0522889,0.005000114,0.00749898,0.05341321
0,0.0644982,0.005000114,0.01008534,0.05295512
0,0.0753525,0.005000114,0.01382995,0.05346859
0,0.0860811,0.005000114,0.01389861,0.05401456
0,0.096979,0.005000114,0.009830236,0.05633771
0,0.1085836,0.005000114,-0.0001289845,0.0620431
0,0.1193432,0.005000114,-0.007071972,0.06477791
0,0.1304748,0.005000114,-0.01177287,0.06917363
0,0.1424465,0.005000114,-0.01195407,0.07422799
0,0.1540668,0.005000114,-0.002480745,0.07649854
0,0.1649831,0.005000114,0.009852648,0.0763118
0,0.1762964,0.005000114,0.0309093,0.0743688
0,0.1874559,0.005000114,0.04693294,0.07462677
0,0.1986107,0.005000114,0.04965949,0.07834274
0,0.2090321,0.004999638,0.04582095,0.08494371
0,0.2205947,0.005000114,0.04278588,0.08884332
0,0.2299983,0.005000114,0.03615665,0.08969036
0,0.2409773,0.005000114,0.0341959,0.08993545
0,0.2523301,0.005000114,0.03987288,0.09198275
0,0.2630654,0.005000114,0.04739928,0.09315959
0,0.2736473,0.005000114,0.07639146,0.08933228
0,0.2833878,0.005000114,0.09739757,0.08655107
0,0.2930043,0.005000114,0.1263506,0.08340296
0,0.3045706,0.005000114,0.1520314,0.08356202
0,0.3148611,0.005000114,0.1863935,0.08258858
0,0.3250604,0.005000114,0.2285058,0.079487
0,0.3356884,0.005000114,0.2711203,0.07485324
0,0.3462734,0.005000114,0.3258979,0.07077193
0,0.3573569,0.005000114,0.3797302,0.07234466
0,0.3683671,0.005000114,0.4286811,0.07465851
0,0.3793053,0.005000114,0.4765844,0.08592382
0,0.3905596,0.005000114,0.5226364,0.09541759
0,0.4018095,0.005000114,0.5659745,0.1026134
0,0.4128152,0.005000114,0.6103156,0.1070598
0,0.4240562,0.005000114,0.6554585,0.1106761
0,0.4353203,0.004999638,0.7010794,0.1142336
0,0.4467072,0.004999638,0.7452354,0.1179844
0,0.4574643,0.005000114,0.7875183,0.1214564
0,0.4686375,0.005000114,0.8280869,0.1293854
0,0.4800162,0.005000114,0.8701077,0.1410742
0,0.4911753,0.005000114,0.9152734,0.1519004
0,0.5020637,0.005000114,0.9605267,0.1600809
0,0.5133115,0.005000114,1.0079,0.1669012
0,0.5244824,0.004999638,1.05616,0.1729242
0,0.535695,0.005000114,1.103989,0.179152
0,0.5470659,0.005000114,1.149484,0.1926202
0,0.5580484,0.005000114,1.189314,0.2108081
0,0.5690587,0.004999638,1.224574,0.2326352
0,0.5804425,0.005000114,1.25643,0.2534778
0,0.5914944,0.005000114,1.288214,0.2669604
0,0.6032441,0.005000114,1.321811,0.2777284
0,0.6139321,0.005000114,1.355554,0.2859688
0,0.6250356,0.005000114,1.388525,0.2966126
0,0.6364775,0.005000114,1.420727,0.3067222
0,0.6475102,0.004999638,1.447141,0.3150443
0,0.6586685,0.005000114,1.474494,0.3230063
0,0.670168,0.005000114,1.502729,0.3307191
0,0.6825774,0.005000114,1.529421,0.33293
0,0.693245,0.005000114,1.553796,0.334062
0,0.7049595,0.005000114,1.574719,0.3343543
0,0.7167365,0.005000114,1.591272,0.3358417
0,0.7275284,0.005000114,1.607772,0.341009
0,0.7393806,0.005000114,1.621954,0.3466343
0,0.7505322,0.005000114,1.638939,0.3500887
0,0.7624954,0.004999638,1.657219,0.3512937
0,0.7740541,0.005000114,1.673781,0.3530663
0,0.7848433,0.005000114,1.693338,0.3609723
0,0.8021604,0.005000114,1.702651,0.3687426
0,0.8141028,0.005000114,1.703793,0.3780462
0,0.8247085,0.005000114,1.702893,0.3862454
0,0.8352388,0.005000114,1.704115,0.3917538
0,0.8455042,0.004999638,1.708373,0.3952669
0,0.8570684,0.005000114,1.715571,0.3969353
0,0.8679793,0.005000114,1.721639,0.3982279
0,0.8789219,0.005000114,1.725996,0.4001047
0,0.8897787,0.005000114,1.722075,0.4103847
