scene,time,controllerLocationX,controllerLocationY,controllerLocationZ,controllerRotationX,controllerRotationY,controllerRotationZ,controllerRotationW,controllerRotationEulerX,controllerRotationEulerY,controllerRotationEulerZ
0,0,-0.294074,1.670024,0.0889619,-0.06654893,0.006186402,-0.1997467,0.9775655,352.6667,2.235107,336.7601
0,0.0117935,-0.2942326,1.670022,0.08891487,-0.06597883,0.005851505,-0.2009871,0.9773519,352.7259,2.193115,336.6194
0,0.023587,-0.2941276,1.670039,0.08896663,-0.06559569,0.005910018,-0.2026036,0.9770435,352.7739,2.202637,336.4308
0,0.0398114,-0.2940729,1.670028,0.08917493,-0.06584753,0.006627453,-0.2033118,0.9768749,352.7641,2.294876,336.3412
0,0.0522889,-0.2941869,1.67015,0.08922933,-0.06605276,0.006602985,-0.2022975,0.9770717,352.7381,2.289474,336.4597
0,0.0644982,-0.2941478,1.670133,0.08925774,-0.06638759,0.006676392,-0.2008121,0.9773549,352.6987,2.294617,336.6322
0,0.0753525,-0.2941466,1.670074,0.08929693,-0.06640224,0.006779108,-0.1999405,0.9775319,352.6974,2.300018,336.734
0,0.0860811,-0.2943423,1.669974,0.08944923,-0.0660913,0.007027864,-0.2002724,0.9774833,352.7389,2.323227,336.6949
0,0.096979,-0.2943955,1.669757,0.08969454,-0.06532918,0.007624938,-0.2014728,0.9772833,352.8413,2.381409,336.5536
0,0.1085836,-0.2944205,1.669578,0.08984798,-0.06477516,0.007956789,-0.2019185,0.9772255,352.9124,2.408905,336.502
0,0.1193432,-0.2945868,1.669568,0.09008376,-0.06444026,0.008371151,-0.2026955,0.9770833,352.9617,2.453278,336.4096
0,0.1304748,-0.2945776,1.669531,0.09026588,-0.06452074,0.008786838,-0.2031197,0.9769864,352.9635,2.505157,336.3565
0,0.1424465,-0.2945056,1.669688,0.09036551,-0.06539035,0.008827819,-0.2027888,0.9769969,352.8659,2.528244,336.3904
0,0.1540668,-0.2944559,1.669939,0.09037743,-0.06646319,0.008606126,-0.202403,0.9770064,352.7392,2.526108,336.4313
0,0.1649831,-0.2943413,1.670303,0.09034107,-0.06826568,0.008121583,-0.2012431,0.9771259,352.5223,2.505737,336.5611
0,0.1762964,-0.2942231,1.670601,0.09033231,-0.06966254,0.0079412,-0.1999465,0.9772949,352.3578,2.50853,336.7071
0,0.1874559,-0.2941632,1.670879,0.09033585,-0.06994405,0.008261112,-0.1995261,0.9773582,352.3325,2.548035,336.7526
0,0.1986107,-0.2940536,1.670896,0.09049496,-0.06971975,0.008876462,-0.200076,0.9772564,352.3734,2.616547,336.6848
0,0.2090321,-0.2939564,1.670925,0.09062335,-0.06951787,0.009240671,-0.2005597,0.9771682,352.4059,2.656662,336.6264
0,0.2205947,-0.294014,1.671044,0.09063651,-0.06894186,0.009366925,-0.2016423,0.9769849,352.4765,2.665573,336.5014
0,0.2299983,-0.2938718,1.671148,0.09068628,-0.06876862,0.009353666,-0.202633,0.9767923,352.4984,2.667572,336.3858
0,0.2409773,-0.2937009,1.671416,0.09072526,-0.06929427,0.009372484,-0.2034704,0.976581,352.442,2.688858,336.284
0,0.2523301,-0.2936359,1.671824,0.09081492,-0.06995263,0.009301102,-0.2039384,0.976437,352.3677,2.700394,336.2255
0,0.2630654,-0.2933619,1.672552,0.09069533,-0.07240075,0.008408536,-0.2041562,0.9762211,352.0722,2.660798,336.1917
0,0.2736473,-0.2931309,1.673157,0.09061661,-0.07416601,0.007741366,-0.2045795,0.9760055,351.8593,2.631927,336.136
0,0.2833878,-0.2929159,1.674319,0.09041847,-0.07658891,0.006807126,-0.2062949,0.9754642,351.5694,2.600418,335.9259
0,0.2930043,-0.2926311,1.675199,0.09038657,-0.07880348,0.006134141,-0.2089002,0.9747374,351.3115,2.602325,335.6096
0,0.3045706,-0.2922874,1.676342,0.09039456,-0.08174033,0.005031779,-0.2132362,0.9735622,350.9665,2.591706,335.0868
0,0.3148611,-0.2918919,1.677624,0.0903809,-0.08529149,0.003494376,-0.2183167,0.9721373,350.5432,2.55864,334.474
0,0.3250604,-0.2914629,1.679129,0.09026892,-0.0888115,0.001888471,-0.2222828,0.9709271,350.118,2.51033,333.993
0,0.3356884,-0.2909284,1.680725,0.09017057,-0.09336982,8.748285E-05,-0.2258492,0.9696773,349.5698,2.467697,333.5525
0,0.3462734,-0.290339,1.682282,0.09011824,-0.09793372,-0.001106456,-0.2282395,0.9686664,349.0335,2.484711,333.2448
0,0.3573569,-0.289765,1.683979,0.09019076,-0.1020545,-0.002043162,-0.2295271,0.967935,348.5506,2.508301,333.0681
0,0.3683671,-0.2891426,1.685467,0.0902606,-0.1062713,-0.001947872,-0.2287382,0.9676681,348.0791,2.62709,333.1266
0,0.3793053,-0.2885495,1.686843,0.0903509,-0.1102831,-0.002089854,-0.2290057,0.9671554,347.6268,2.726791,333.0617
0,0.3905596,-0.2881965,1.68849,0.09058253,-0.1139794,-0.002356848,-0.2290105,0.9667251,347.2056,2.80066,333.0313
0,0.4018095,-0.2876412,1.68983,0.09062311,-0.1177211,-0.002658505,-0.2272097,0.9667008,346.773,2.847199,333.2168
0,0.4128152,-0.2870877,1.691184,0.09065801,-0.1214945,-0.003186474,-0.2266135,0.9663722,346.334,2.884964,333.2595
0,0.4240562,-0.2867023,1.692842,0.09094305,-0.1252603,-0.00386088,-0.2269487,0.9658101,345.8945,2.919526,333.1915
0,0.4353203,-0.2861806,1.694185,0.09110413,-0.1289134,-0.004530642,-0.2276271,0.9651667,345.4687,2.957382,333.0823
0,0.4467072,-0.2856737,1.695517,0.0913055,-0.1323864,-0.005225996,-0.2285394,0.9644772,345.063,2.991852,332.9462
0,0.4574643,-0.2854398,1.697137,0.09174237,-0.1357664,-0.00551993,-0.2294906,0.9637796,344.6787,3.071289,332.7996
0,0.4686375,-0.2849304,1.69843,0.09211627,-0.1393504,-0.005464707,-0.2300364,0.963138,344.2797,3.191132,332.6935
0,0.4800162,-0.2843977,1.69975,0.09244785,-0.1431578,-0.005519774,-0.2303597,0.9625018,343.8518,3.302216,332.6121
0,0.4911753,-0.2841559,1.70148,0.09265596,-0.1468805,-0.005675362,-0.2299157,0.9620461,343.4279,3.386673,332.6251
0,0.5020637,-0.283613,1.702792,0.09285829,-0.1507638,-0.005804777,-0.2282314,0.9618456,342.982,3.456543,332.7856
0,0.5133115,-0.283058,1.704097,0.09304813,-0.1546841,-0.005968655,-0.2263073,0.9616768,342.5296,3.518051,332.9748
0,0.5244824,-0.2826527,1.705886,0.09316185,-0.1585145,-0.006162623,-0.2249266,0.9613757,342.088,3.582625,333.0987
0,0.535695,-0.2821223,1.707147,0.0934943,-0.1623018,-0.0058668,-0.2245421,0.9608353,341.6678,3.721527,333.092
0,0.5470659,-0.2816184,1.708318,0.09394944,-0.1657066,-0.005167123,-0.2247916,0.9601997,341.304,3.909073,333.0039
0,0.5580484,-0.281339,1.709875,0.09448849,-0.1687721,-0.004126173,-0.2253961,0.9595289,340.9894,4.134323,332.8689
0,0.5690587,-0.2808884,1.710922,0.09500401,-0.1715735,-0.003055975,-0.2256599,0.9589738,340.704,4.349105,332.7771
0,0.5804425,-0.2804485,1.71193,0.09537826,-0.1742275,-0.002458602,-0.2250755,0.9586344,340.4185,4.487396,332.7992
0,0.5914944,-0.280118,1.713233,0.09579875,-0.1769407,-0.002054617,-0.2240876,0.9583697,340.1189,4.596527,332.8729
0,0.6032441,-0.2796763,1.714218,0.09607309,-0.17963,-0.001844067,-0.2230129,0.9581205,339.8159,4.68036,332.9607
0,0.6139321,-0.2792448,1.715135,0.09636727,-0.1822953,-0.001410119,-0.2219411,0.9578666,339.5215,4.789352,333.0435
0,0.6250356,-0.2789721,1.716284,0.09665737,-0.1848649,-0.001031246,-0.2210467,0.9575813,339.2371,4.892807,333.1063
0,0.6364775,-0.2785883,1.71711,0.09691048,-0.1869678,-0.0006669573,-0.2200475,0.9574036,339.0041,4.977662,333.1892
0,0.6475102,-0.2781884,1.717944,0.09717228,-0.189126,-0.0004310198,-0.2194605,0.9571146,338.7634,5.058564,333.2224
