scene,time,headsetLocationX,headsetLocationY,headsetLocationZ,headsetRotationX,headsetRotationY,headsetRotationZ,headsetRotationW,headsetRotationEulerX,headsetRotationEulerY,headsetRotationEulerZ
0,0,-0.4464541,2.219774,0.4086675,-0.0735807,-0.004285376,0.02095636,0.9970598,351.573,359.3264,2.457776
0,0.0086128,-0.4464577,2.219763,0.4086865,-0.0735506,-0.004287866,0.02092532,0.9970626,351.5764,359.3264,2.454178
0,0.0172256,-0.4464351,2.219774,0.40872,-0.07362198,-0.004168659,0.02096127,0.9970571,351.568,359.3397,2.457393
0,0.0281972,-0.4464117,2.219742,0.4087027,-0.0737464,-0.00401019,0.02097789,0.9970483,351.5533,359.3576,2.458092
0,0.0402948,-0.4463834,2.219759,0.4087397,-0.0738491,-0.003832267,0.02101473,0.9970406,351.5411,359.3775,2.460934
0,0.0530101,-0.4463384,2.219793,0.4087173,-0.0740042,-0.003641362,0.02103536,0.9970294,351.5228,359.399,2.46184
0,0.0663186,-0.4463165,2.219823,0.4087623,-0.07417038,-0.003491784,0.02109175,0.9970165,351.5034,359.4154,2.467236
0,0.0783678,-0.4462912,2.219865,0.4088016,-0.07435558,-0.003235625,0.02113808,0.9970025,351.4815,359.4441,2.470566
0,0.0902332,-0.4462093,2.219944,0.4088506,-0.07467422,-0.002942379,0.0212103,0.996978,351.4442,359.4765,2.476679
0,0.102601,-0.4461792,2.22,0.4088884,-0.07493051,-0.002667164,0.02136008,0.9969564,351.4142,359.5063,2.491839
0,0.1153059,-0.4461383,2.220019,0.4089558,-0.07533958,-0.002376128,0.02146629,0.996924,351.3665,359.538,2.501939
0,0.1385695,-0.4461054,2.22006,0.4090066,-0.07568434,-0.002074071,0.0215619,0.9968965,351.3262,359.5712,2.51064
0,0.1478208,-0.4460806,2.220131,0.4090734,-0.07607866,-0.001649831,0.02173186,0.9968636,351.2798,359.6176,2.526879
0,0.1571682,-0.4461493,2.220164,0.4092068,-0.07652983,-0.001248079,0.02186211,0.9968268,351.2271,359.6617,2.538732
0,0.1658388,-0.4461203,2.220231,0.4092603,-0.07690939,-0.0007792129,0.02185653,0.9967982,351.1823,359.715,2.53419
0,0.1781599,-0.4461375,2.220293,0.4093621,-0.07718473,-0.0002561014,0.02192974,0.9967756,351.1493,359.7741,2.538168
0,0.1902932,-0.4461056,2.22035,0.4094407,-0.0773548,0.0002737725,0.02203268,0.9967601,351.1284,359.834,2.545432
0,0.2025917,-0.4460678,2.22044,0.4095289,-0.0775823,0.00089254,0.02220147,0.9967384,351.1007,359.9034,2.559521
0,0.2158827,-0.4460381,2.220537,0.4096249,-0.07802603,0.001572966,0.02245523,0.9966972,351.048,359.9786,2.582944
0,0.2273253,-0.4460038,2.220672,0.4096462,0.07847735,-0.002322843,-0.0227627,-0.9966533,350.9942,0.06134223,2.611887
0,0.2403517,-0.44596,2.220774,0.4097889,0.07897121,-0.003298806,-0.02311035,-0.9966036,350.9348,0.1697158,2.643346
0,0.2520023,-0.4459311,2.22087,0.4099176,0.07934131,-0.004207087,-0.02332919,-0.9965656,350.8898,0.2717647,2.6604
0,0.264363,-0.4458595,2.220942,0.4099815,0.07980222,-0.005122234,-0.02339781,-0.9965228,350.8344,0.3757592,2.659934
0,0.2776536,-0.4458248,2.22104,0.4101186,0.08034147,-0.00609828,-0.02352848,-0.996471,350.7697,0.4860305,2.665976
0,0.2989009,-0.4457903,2.221138,0.4102675,0.08090492,-0.006992006,-0.02363444,-0.9964171,350.7025,0.5869599,2.669808
0,0.3085719,-0.4457078,2.22123,0.4103422,0.08147608,-0.007998631,-0.02384889,-0.9963578,350.634,0.6999207,2.685012
0,0.3183201,-0.4456664,2.221321,0.410494,0.08203952,-0.008836564,-0.02408858,-0.9962987,350.5668,0.7931405,2.704623
0,0.325858,-0.445587,2.22136,0.410658,0.08274754,-0.009912841,-0.02433513,-0.996224,350.4823,0.9135019,2.722564
0,0.3382263,-0.4455505,2.221449,0.4107976,0.08333609,-0.01078768,-0.02453167,-0.9961611,350.412,1.011343,2.736566
0,0.3512895,-0.4455082,2.221539,0.4109347,0.08377416,-0.01149355,-0.02485115,-0.9961086,350.3594,1.088814,2.766443
0,0.3635054,-0.4454968,2.221596,0.4110287,0.08435696,-0.01235472,-0.02513264,-0.996042,350.2897,1.184246,2.790223
0,0.3761696,-0.4454457,2.221667,0.4111389,0.08478878,-0.01299685,-0.02539371,-0.9959905,350.2379,1.2549,2.813817
0,0.388858,-0.4455274,2.221731,0.4112057,0.08509596,-0.01359691,-0.02569052,-0.9959486,350.2005,1.320648,2.842018
0,0.4017648,-0.4455014,2.221801,0.4112885,0.08551592,-0.0140861,-0.0258815,-0.9959009,350.1505,1.374294,2.858917
0,0.4139082,-0.4454799,2.22191,0.4113691,0.08612414,-0.01459186,-0.02605753,-0.9958367,350.0789,1.4295,2.873693
0,0.4268775,-0.4454906,2.221989,0.4113976,0.08660211,-0.01494966,-0.02607012,-0.9957895,350.0229,1.469559,2.871082
0,0.4401597,-0.4454598,2.222039,0.4114477,0.08692715,-0.01522731,-0.02599246,-0.9957591,349.9849,1.50166,2.858937
0,0.4637402,-0.4454683,2.222071,0.4114998,0.08715869,-0.01553899,-0.02600525,-0.9957337,349.9573,1.537041,2.857012
0,0.4733509,-0.4454438,2.222137,0.4115098,0.08745217,-0.01559291,-0.02607748,-0.9957052,349.9233,1.541779,2.864527
0,0.4817318,-0.4454308,2.2222,0.4114875,0.08780789,-0.01562009,-0.02621768,-0.9956698,349.8821,1.542549,2.880131
0,0.4900462,-0.4454013,2.222255,0.4115078,0.08815052,-0.01545785,-0.02641281,-0.995637,349.8429,1.520817,2.904072
0,0.5025127,-0.4453819,2.222296,0.4114871,0.08847764,-0.01543234,-0.02646378,-0.995607,349.8052,1.516453,2.909912
0,0.5151684,-0.4453182,2.222408,0.4114115,0.08871064,-0.01525116,-0.02656568,-0.9955863,349.7788,1.493759,2.923373
0,0.5269668,-0.4453057,2.22242,0.41137,0.08882226,-0.0150035,-0.02659768,-0.9955792,349.7667,1.464407,2.929544
0,0.5400833,-0.4452973,2.222405,0.4113107,0.08872738,-0.01459713,-0.02663906,-0.9955927,349.7787,1.417118,2.938647
0,0.5525643,-0.4452411,2.22244,0.4112032,0.08853799,-0.01420974,-0.02670147,-0.9956134,349.8015,1.372076,2.950065
0,0.5648302,-0.4452505,2.222381,0.4111319,0.08823747,-0.01369609,-0.02671459,-0.995647,349.8376,1.313221,2.95714
0,0.5774696,-0.4451953,2.222347,0.4110366,0.08795385,-0.01316081,-0.02665042,-0.995681,349.8719,1.252619,2.955422
0,0.58926,-0.4452263,2.222306,0.410987,0.08774428,-0.01268435,-0.02655751,-0.9957082,349.8975,1.198927,2.949683
0,0.6025421,-0.4452654,2.222269,0.41094,0.08759551,-0.01222345,-0.02641993,-0.9957306,349.9162,1.147327,2.938541
0,0.62504,-0.445299,2.222255,0.4109251,0.08741602,-0.01187654,-0.02634487,-0.9957526,349.9379,1.108387,2.933491
0,0.6343464,-0.4453126,2.222239,0.4108495,0.08722103,-0.01165954,-0.02634745,-0.9957722,349.961,1.083755,2.936115
0,0.6447341,-0.4453516,2.22222,0.4108809,0.08702313,-0.01159299,-0.02635141,-0.9957902,349.9839,1.076557,2.937367
0,0.6527517,-0.4453966,2.222196,0.4109352,0.08685469,-0.01159328,-0.02642592,-0.995803,350.0032,1.076307,2.9461
0,0.6652806,-0.4454369,2.222116,0.4109371,0.0866252,-0.01167369,-0.0264293,-0.995822,350.0294,1.086237,2.945812
0,0.6777306,-0.4454924,2.222078,0.411017,0.08633218,-0.01167352,-0.02641159,-0.9958479,350.0631,1.087219,2.943933
0,0.6896641,-0.4455718,2.221996,0.4110347,0.08602442,-0.01176296,-0.02635024,-0.995875,350.0983,1.099062,2.936106
0,0.7024305,-0.4456353,2.22195,0.4111332,0.08578444,-0.01182387,-0.02613793,-0.9959006,350.1259,1.108915,2.911033
0,0.7147632,-0.4456977,2.221907,0.4112166,0.08549968,-0.01199852,-0.02593806,-0.9959282,350.1584,1.131932,2.886302
0,0.7273335,-0.4457204,2.22187,0.4112605,0.08516166,-0.01207642,-0.02570743,-0.9959622,350.1973,1.144175,2.85902
0,0.7394193,-0.4457801,2.221825,0.4113402,0.08494137,-0.01219223,-0.02542207,-0.9959869,350.2226,1.161014,2.824951
0,0.7533795,-0.4458756,2.221746,0.4114273,0.08471195,-0.01230111,-0.02524083,-0.9960097,350.2489,1.176031,2.803033
0,0.7736154,-0.4459326,2.221721,0.4114786,0.08446655,-0.01241813,-0.02509505,-0.9960329,350.2769,1.191671,2.785164
0,0.7819548,-0.4459837,2.221699,0.4115162,0.08432545,-0.01253306,-0.0250045,-0.9960456,350.2929,1.206244,2.773647
0,0.7899654,-0.4460189,2.221656,0.4115366,0.08417206,-0.01266624,-0.02491314,-0.9960592,350.3103,1.222965,2.76187
0,0.8012416,-0.4460523,2.221655,0.4115385,0.08413251,-0.01268004,-0.02489099,-0.996063,350.3148,1.224884,2.759199
0,0.8134782,-0.4460859,2.221659,0.4115106,0.08411156,-0.01266724,-0.02494449,-0.9960635,350.3172,1.222931,2.76554
0,0.8258818,-0.4460873,2.221627,0.4114385,0.08409864,-0.01261851,-0.02497426,-0.9960645,350.3188,1.21703,2.769475
0,0.8387434,-0.4461085,2.22164,0.4113665,0.08422344,-0.0125551,-0.0250263,-0.9960534,350.3046,1.208849,2.776032
0,0.8512707,-0.4462228,2.22163,0.4111901,0.08437772,-0.01240074,-0.02515303,-0.9960391,350.2871,1.18932,2.792118
0,0.864212,-0.446241,2.22165,0.4111075,0.08451218,-0.01227529,-0.02527075,-0.9960263,350.2719,1.173275,2.806897
0,0.8766007,-0.4462556,2.221669,0.4110064,0.0846586,-0.01208451,-0.02549595,-0.9960105,350.2553,1.148565,2.834771
0,0.8890158,-0.4463244,2.221676,0.410832,0.08476353,-0.01193429,-0.0256668,-0.995999,350.2435,1.129194,2.855983
0,0.9013624,-0.4463388,2.221676,0.4107039,0.08496898,-0.01181402,-0.0258873,-0.9959772,350.22,1.11252,2.882593
0,0.9152037,-0.4463088,2.221697,0.4105978,0.08509694,-0.01165806,-0.02601301,-0.9959649,350.2056,1.092855,2.898628
