scene,time,controllerLocationX,controllerLocationY,controllerLocationZ,controllerRotationX,controllerRotationY,controllerRotationZ,controllerRotationW,controllerRotationEulerX,controllerRotationEulerY,controllerRotationEulerZ
0,0,-0.2921139,1.406759,0.4945638,0.07940152,0.04076948,0.2716748,-0.9582412,349.9607,357.9636,328.5213
0,0.0122488,-0.2921953,1.406699,0.4944709,0.07915927,0.04099417,0.2714249,-0.9583224,349.981,357.9283,328.5543
0,0.0244976,-0.2923397,1.406652,0.4943743,0.0789551,0.04115991,0.2709184,-0.9584755,349.9996,357.898,328.6175
0,0.0370852,-0.2924107,1.406649,0.4943699,0.07880022,0.04130103,0.2708961,-0.9584884,350.0124,357.8772,328.6219
0,0.0495552,-0.2924472,1.40664,0.4943732,0.07874741,0.04121128,0.2708877,-0.958499,350.0211,357.8855,328.6223
0,0.0621817,-0.2924591,1.406719,0.4943615,0.07884864,0.041528,0.270849,-0.9584879,350.0001,357.8529,328.6295
0,0.075325,-0.2924732,1.406864,0.4944221,0.0793457,0.04142105,0.2703233,-0.9586,349.9495,357.8748,328.6902
0,0.0955591,-0.2924765,1.407001,0.4945559,0.07985479,0.04108145,0.2704689,-0.9585312,349.9034,357.9301,328.6679
0,0.1026713,-0.2925107,1.4071,0.4947145,0.08029249,0.04066273,0.2704746,-0.9585109,349.8679,357.9906,328.6619
0,0.1122719,-0.2925465,1.407178,0.4948685,0.08069381,0.04029008,0.2702953,-0.9585435,349.8354,358.0428,328.6787
0,0.1248659,-0.2925889,1.407273,0.4950401,0.08115526,0.03984216,0.270019,-0.9586012,349.7987,358.1042,328.7063
0,0.1373637,-0.2926281,1.407345,0.4951995,0.08158171,0.03946571,0.2699212,-0.9586081,349.7633,358.1585,328.713
0,0.14968,-0.2926499,1.407424,0.4953036,0.08185247,0.03943536,0.2699104,-0.9585893,349.7343,358.1702,328.7131
0,0.1632835,-0.292673,1.407467,0.495362,0.08193459,0.039335,0.270024,-0.9585544,349.7281,358.1852,328.6982
0,0.1745214,-0.2927025,1.407416,0.4953448,0.08155531,0.03948709,0.2702164,-0.9585263,349.765,358.1585,328.6778
0,0.1872173,-0.2927152,1.407381,0.495371,0.0813787,0.0394218,0.2700109,-0.958602,349.787,358.1581,328.7026
0,0.1995282,-0.292713,1.407413,0.4954644,0.08162367,0.03927393,0.2699597,-0.9586015,349.7645,358.1816,328.7065
0,0.2119946,-0.2927044,1.407493,0.495624,0.08218048,0.03891556,0.2701209,-0.9585232,349.7137,358.2408,328.6817
0,0.2248421,-0.2926875,1.407632,0.4958589,0.08280545,0.03851533,0.2705115,-0.9583753,349.6562,358.3093,328.6285
0,0.237689,-0.2927046,1.407803,0.4961914,0.08365313,0.03775406,0.2709021,-0.9582217,349.5853,358.4252,328.5709
0,0.2586814,-0.292706,1.407957,0.4964688,0.08442505,0.0369966,0.270727,-0.9582331,349.5237,358.5321,328.5817
0,0.2661038,-0.2927084,1.40816,0.4968778,0.08550721,0.03604225,0.2705536,-0.9582224,349.4337,358.6707,328.5889
0,0.2746505,-0.2927163,1.408398,0.4973123,0.08672313,0.03503562,0.2706176,-0.9581324,349.3303,358.8222,328.5661
0,0.286891,-0.2927243,1.408676,0.4977812,0.08807386,0.03385818,0.2707441,-0.9580158,349.2172,358.9978,328.533
0,0.2997223,-0.2927367,1.408852,0.4981587,0.08881246,0.0329623,0.2709031,-0.9579339,349.1632,359.123,328.5014
0,0.3120083,-0.2927736,1.40903,0.4985434,0.08967274,0.03196585,0.2708329,-0.9579074,349.0991,359.2608,328.4957
0,0.3243205,-0.2928369,1.409122,0.4989356,0.09043089,0.03083053,0.2708031,-0.9578817,349.0506,359.4114,328.4841
0,0.337161,-0.2928998,1.409247,0.4993518,0.09122834,0.02970944,0.2707569,-0.9578546,348.9973,359.5615,328.4742
0,0.3497021,-0.2929424,1.409365,0.4996608,0.09204295,0.02885325,0.2706457,-0.9578342,348.9339,359.6818,328.4745
0,0.3628407,-0.2929615,1.409527,0.4999817,0.0929618,0.0280469,0.2705981,-0.957783,348.8573,359.8006,328.4668
0,0.3746223,-0.292998,1.409686,0.5003043,0.09398137,0.0270948,0.2703256,-0.9577878,348.7741,359.9363,328.4839
0,0.3871707,-0.2930413,1.409787,0.5005633,-0.0945788,-0.02645719,-0.2706887,0.9576442,348.7279,0.03094496,328.4299
0,0.3999907,-0.2930899,1.409809,0.5007538,-0.09471422,-0.02596147,-0.2709191,0.9575793,348.7284,0.09344479,328.3961
0,0.4205369,-0.2930902,1.409798,0.5008441,-0.09457815,-0.02581556,-0.2710913,0.9575479,348.7481,0.1074525,328.3747
0,0.4278496,-0.2930878,1.409824,0.5010838,-0.0947739,-0.02513561,-0.2714758,0.9574378,348.7478,0.1943055,328.3201
0,0.4372375,-0.2930726,1.409934,0.5014985,-0.09561847,-0.0237768,-0.2717937,0.9572982,348.6971,0.3771059,328.2623
0,0.4495653,-0.2930705,1.410075,0.5019186,-0.09662413,-0.02242537,-0.2718267,0.9572206,348.6283,0.5609435,328.2377
0,0.4622339,-0.29308,1.410188,0.5023151,-0.09750604,-0.02114063,-0.2718154,0.9571636,348.5711,0.7328797,328.2197
0,0.4751318,-0.2931036,1.410284,0.5026512,-0.09830756,-0.02005044,-0.2718589,0.9570926,348.5168,0.8811948,328.1974
0,0.4872056,-0.2931207,1.410404,0.5029935,-0.09901658,-0.01903865,-0.2720139,0.9569961,348.4704,1.019165,328.1629
0,0.4999112,-0.2931615,1.410483,0.5032804,-0.09953238,-0.01810756,-0.2723297,0.9568709,348.4431,1.14386,328.1111
0,0.5124188,-0.293209,1.410512,0.5035094,-0.09981076,-0.01731171,-0.2725698,0.9567883,348.4377,1.244812,328.0716
0,0.5248216,-0.29328,1.410507,0.5037075,-0.09993519,-0.0165721,-0.2725439,0.9567958,348.4474,1.331207,328.0661
0,0.5372426,-0.2933216,1.410498,0.5038893,-0.1000817,-0.01595038,-0.2726105,0.956772,348.4509,1.406281,328.0504
0,0.5504799,-0.2933563,1.410539,0.5042195,-0.1006839,-0.0148061,-0.2725913,0.9567327,348.4205,1.553589,328.0359
0,0.5709135,-0.2933372,1.410688,0.5044606,-0.1015534,-0.01400734,-0.2725458,0.9566658,348.3495,1.670746,328.0259
0,0.5795459,-0.29334,1.410897,0.5048912,-0.1028406,-0.01254446,-0.2726616,0.9565156,348.2537,1.8779,327.9857
0,0.5878472,-0.2933432,1.411173,0.5053757,-0.1043268,-0.0109536,-0.2727873,0.9563383,348.1401,2.106201,327.9405
0,0.5993999,-0.2933347,1.411396,0.505739,-0.1054482,-0.009819498,-0.2728445,0.9562113,348.0522,2.270722,327.9113
0,0.6118827,-0.2933155,1.41159,0.506047,-0.1063809,-0.008938923,-0.2729206,0.9560949,347.9773,2.401001,327.884
0,0.6245183,-0.2933053,1.411807,0.5063467,-0.1072711,-0.008200999,-0.2729595,0.9559909,347.9024,2.51352,327.8629
0,0.6372708,-0.2933137,1.411924,0.5065679,-0.1076675,-0.007617058,-0.2731044,0.9559099,347.8776,2.593842,327.8351
0,0.6499565,-0.2933332,1.411987,0.5067706,-0.1077864,-0.006999169,-0.2736582,0.9557428,347.8857,2.674011,327.7602
0,0.662185,-0.2933577,1.412022,0.5070038,-0.1081147,-0.006125581,-0.2738855,0.9556466,347.878,2.785553,327.7199
0,0.6750243,-0.2933659,1.412053,0.5072333,-0.1083591,-0.005445231,-0.2738835,0.9556236,347.8727,2.869752,327.7103
0,0.6873758,-0.2933493,1.412184,0.5075436,-0.1091523,-0.004363406,-0.2737386,0.9555805,347.8192,3.01535,327.7081
0,0.7000846,-0.2933189,1.412334,0.5078355,-0.1100882,-0.003443209,-0.273688,0.9554912,347.7451,3.148926,327.6945
0,0.7123544,-0.2932908,1.412521,0.5082242,-0.1112486,-0.002278466,-0.2735524,0.9553992,347.6537,3.316345,327.686
0,0.7345542,-0.2932772,1.412588,0.5083892,-0.111696,-0.001835901,-0.2733837,0.9553962,347.6178,3.378663,327.6968
0,0.7419153,-0.2932323,1.412722,0.5087208,-0.1125644,-0.0008363985,-0.2732943,0.9553213,347.5535,3.518494,327.6871
0,0.7498218,-0.2932027,1.412792,0.5090001,-0.113127,0.0001200698,-0.2732544,0.9552667,347.5219,3.64392,327.6751
