scene,time,headsetLocationX,headsetLocationY,headsetLocationZ,headsetRotationX,headsetRotationY,headsetRotationZ,headsetRotationW,headsetRotationEulerX,headsetRotationEulerY,headsetRotationEulerZ
0,0,-6.195997E-05,1.904246,0.401053,-0.04236869,0.0114,-0.06554808,0.9968843,355.2402,1.626343,352.4085
0,0.0122488,-1.575757E-05,1.904273,0.4010275,-0.04231217,0.01149561,-0.06554313,0.996886,355.2474,1.636841,352.4088
0,0.0244976,-7.664899E-05,1.904211,0.4011557,-0.04210237,0.01171071,-0.06548698,0.996896,355.2729,1.659607,352.4147
0,0.0370852,-0.000137512,1.904157,0.4012784,-0.04195466,0.01194619,-0.06548674,0.9968995,355.2916,1.685455,352.4139
0,0.0495552,-0.0001754384,1.904201,0.4013796,-0.04187642,0.01213628,-0.06551143,0.9968989,355.302,1.706757,352.4104
0,0.0621817,-0.0002627043,1.904169,0.4015126,-0.04193344,0.01246564,-0.06557779,0.996888,355.2981,1.74527,352.4011
0,0.075325,-0.000302469,1.904108,0.4016003,-0.04182781,0.01277949,-0.06567474,0.9968821,355.3128,1.780884,352.3887
0,0.0955591,-0.0003730528,1.904054,0.4017076,-0.04161884,0.01311828,-0.06566641,0.996887,355.3393,1.818054,352.3886
0,0.1026713,-0.0004472293,1.904009,0.4018123,-0.04144423,0.01349843,-0.06566387,0.9968894,355.3621,1.86026,352.3875
0,0.1122719,-0.000548297,1.90397,0.4018947,-0.04132337,0.0139384,-0.06563937,0.9968899,355.3792,1.909638,352.3886
0,0.1248659,-0.0006335202,1.903958,0.4019985,-0.04136276,0.01430205,-0.06550789,0.9968917,355.3773,1.951019,352.402
0,0.1373637,-0.0007271704,1.903964,0.4020958,-0.04138191,0.01469326,-0.06532185,0.9968975,355.3777,1.995148,352.4216
0,0.14968,-0.000796821,1.903936,0.4021921,-0.04143839,0.01509652,-0.06514347,0.9969009,355.3739,2.040985,352.4401
0,0.1632835,-0.0008965984,1.903926,0.4023009,-0.0414058,0.01560444,-0.06485663,0.9969131,355.3809,2.097626,352.4709
0,0.1745214,-0.0009611777,1.903881,0.4024128,-0.04141711,0.01602241,-0.06473187,0.9969141,355.3824,2.14505,352.4832
0,0.1872173,-0.001040692,1.90385,0.4025097,-0.0413803,0.01652634,-0.06462196,0.9969146,355.3902,2.202026,352.4937
0,0.1995282,-0.001118754,1.90382,0.4025902,-0.04135453,0.01711748,-0.06450928,0.996913,355.3973,2.269073,352.504
0,0.2119946,-0.001169046,1.90376,0.4026899,-0.04130632,0.01767311,-0.06442285,0.9969108,355.4068,2.332001,352.5116
0,0.2248421,-0.001249293,1.903746,0.4027652,-0.04131428,0.01819431,-0.06429106,0.9969096,355.4095,2.391205,352.5243
0,0.237689,-0.001256452,1.903759,0.4028338,-0.0413758,0.01873987,-0.06417229,0.9969046,355.4063,2.453674,352.5353
0,0.2586814,-0.001349906,1.903752,0.4029343,-0.04148281,0.01935697,-0.06402541,0.9968978,355.3982,2.524567,352.549
0,0.2661038,-0.001419431,1.903746,0.4030103,-0.04166093,0.02001928,-0.06393304,0.9968833,355.3826,2.60144,352.5561
0,0.2746505,-0.00148573,1.903803,0.4030954,-0.04180958,0.02079359,-0.06382492,0.9968681,355.371,2.690856,352.5645
0,0.286891,-0.001549265,1.903832,0.4031763,-0.04203148,0.02147233,-0.06375984,0.9968485,355.3505,2.770081,352.5681
0,0.2997223,-0.001623975,1.903861,0.4032786,-0.04230059,0.02232234,-0.06357431,0.9968303,355.3255,2.868744,352.5845
0,0.3120083,-0.001701058,1.9039,0.4033931,-0.04248844,0.02331931,-0.06328043,0.9968182,355.3105,2.983124,352.613
0,0.3243205,-0.001786544,1.903941,0.403494,-0.04280499,0.02417482,-0.06298905,0.9968027,355.2798,3.082276,352.6414
0,0.337161,-0.001869197,1.903983,0.4035779,-0.04296275,0.02503981,-0.06264171,0.9967965,355.267,3.18103,352.6767
0,0.3497021,-0.00191013,1.903986,0.4036385,-0.04319515,0.02591236,-0.06221837,0.9967906,355.2454,3.280853,352.7204
0,0.3628407,-0.002010179,1.904007,0.4037308,-0.04344178,0.02692188,-0.06175693,0.9967819,355.223,3.396302,352.7677
0,0.3746223,-0.002089854,1.904027,0.4038008,-0.04362261,0.0278169,-0.06138358,0.9967725,355.2074,3.498535,352.8056
0,0.3871707,-0.002127885,1.904013,0.4038372,-0.04385379,0.02875397,-0.06102128,0.996758,355.1864,3.606018,352.8419
0,0.3999907,-0.002225502,1.904045,0.4039298,-0.04418121,0.02985583,-0.06067842,0.996732,355.1556,3.733216,352.8746
0,0.4205369,-0.002272978,1.904059,0.4039941,-0.04450815,0.03076869,-0.0603847,0.9967076,355.1236,3.838959,352.9025
0,0.4278496,-0.002359534,1.904075,0.4040847,-0.04478985,0.0317608,-0.06003683,0.9966848,355.097,3.953186,352.9364
0,0.4372375,-0.00247672,1.904081,0.4042181,-0.04531284,0.03287265,-0.05947631,0.9966588,355.0427,4.081879,352.993
0,0.4495653,-0.002531163,1.904078,0.4043334,-0.04560775,0.03427914,-0.05904997,0.9966233,355.0171,4.243347,353.0337
0,0.4622339,-0.002588737,1.904078,0.4044252,-0.04551616,0.03528646,-0.05887051,0.9966029,355.0338,4.357391,353.0497
0,0.4751318,-0.002658589,1.904041,0.4045137,-0.04571664,0.03638989,-0.05856253,0.9965721,355.0172,4.48398,353.0787
0,0.4872056,-0.002734612,1.904065,0.4046438,-0.04592851,0.03750054,-0.05812079,0.9965472,354.9986,4.61081,353.1229
0,0.4999112,-0.002838961,1.904075,0.4047991,-0.04645785,0.03890352,-0.05760389,0.9964988,354.9452,4.773133,353.1725
0,0.5124188,-0.002910907,1.904049,0.4049,-0.04689699,0.04010671,-0.05721732,0.9964528,354.9013,4.912506,353.2084
0,0.5248216,-0.002988181,1.904069,0.405032,-0.04730836,0.0412651,-0.05682193,0.9964088,354.8601,5.046478,353.2456
0,0.5372426,-0.003073994,1.904101,0.4051696,-0.0477824,0.04244974,-0.05635998,0.9963626,354.8115,5.183563,353.2899
0,0.5504799,-0.003151558,1.904006,0.4052585,-0.04827401,0.04390577,-0.05592072,0.9963006,354.7627,5.352051,353.33
0,0.5709135,-0.003218889,1.904016,0.4053662,-0.04839269,0.04512906,-0.05555131,0.9962608,354.7553,5.491486,353.3653
0,0.5795459,-0.003256903,1.903944,0.4054005,-0.04849969,0.04644793,-0.05517435,0.9962159,354.7497,5.641785,353.4011
0,0.5878472,-0.003329601,1.903959,0.405513,-0.04863486,0.04763712,-0.05468342,0.9961802,354.7393,5.776795,353.4504
0,0.5993999,-0.003406226,1.903978,0.4056247,-0.04891476,0.04886811,-0.05418059,0.9961345,354.7123,5.917572,353.4999
0,0.6118827,-0.003433759,1.903973,0.4056985,-0.04927083,0.05028792,-0.0535831,0.9960785,354.6772,6.080078,353.5587
0,0.6245183,-0.003495537,1.90398,0.4058162,-0.04952164,0.05149374,-0.05309119,0.9960307,354.6533,6.217805,353.6071
0,0.6372708,-0.003542669,1.903979,0.4058825,-0.04980137,0.05274672,-0.05270049,0.995972,354.6268,6.361695,353.6434
0,0.6499565,-0.003612173,1.903979,0.4060211,-0.05015746,0.0541225,-0.05214552,0.9959095,354.5913,6.519349,353.6972
0,0.662185,-0.003668085,1.903984,0.4061381,-0.05048646,0.05536441,-0.05170176,0.9958478,354.5585,6.662018,353.7391
0,0.6750243,-0.003739203,1.90396,0.4061783,-0.05087424,0.05657138,-0.05121037,0.9957856,354.5184,6.800812,353.7861
0,0.6873758,-0.003789109,1.903966,0.4062867,-0.05122906,0.05770841,-0.05075973,0.9957253,354.4818,6.931549,353.829
0,0.7000846,-0.003844893,1.903966,0.4064047,-0.05162502,0.0589959,-0.05017105,0.9956592,354.4403,7.079102,353.8865
0,0.7123544,-0.003887736,1.903971,0.4065014,-0.05185958,0.06002166,-0.04969834,0.9956094,354.4164,7.196075,353.9333
0,0.7345542,-0.003836844,1.903941,0.4065245,-0.05212444,0.0611023,-0.04928289,0.9955505,354.3896,7.319886,353.9728
0,0.7419153,-0.003865921,1.903941,0.4065922,-0.05235802,0.06215858,-0.04884506,0.9954945,354.3661,7.440552,354.0153
0,0.7498218,-0.003866539,1.904005,0.4066959,-0.0526103,0.06315318,-0.04848025,0.9954363,354.3405,7.554658,354.0496
0,0.7622705,-0.003891911,1.904014,0.4067774,-0.05283435,0.0642902,-0.04797581,0.9953761,354.3177,7.684173,354.0992
0,0.7744036,-0.003922109,1.904038,0.4068446,-0.05313706,0.06522012,-0.04761119,0.995317,354.2858,7.791169,354.1332
0,0.7878544,-0.003980323,1.904052,0.4069251,-0.05349506,0.06604291,-0.04718353,0.9952639,354.2464,7.885833,354.1746
0,0.7996531,-0.003992154,1.904076,0.406978,-0.05383065,0.06685556,-0.04682786,0.9952084,354.2099,7.979583,354.2079
0,0.812184,-0.00398068,1.904139,0.407033,-0.05410098,0.06777357,-0.04652927,0.9951456,354.1819,8.085358,354.2345
0,0.8247166,-0.003986555,1.904154,0.4070806,-0.05429279,0.06852145,-0.04614191,0.995102,354.1612,8.170503,354.2729
0,0.8371917,-0.003993867,1.904189,0.4071194,-0.05448394,0.06926666,-0.04581391,0.9950551,354.1409,8.255677,354.3045
0,0.8497448,-0.00397542,1.904298,0.4071327,-0.05485469,0.07007403,-0.04537559,0.9949983,354.0995,8.348541,354.3468
0,0.8627515,-0.003980033,1.904351,0.4071742,-0.05516202,0.0706903,-0.04504317,0.9949528,354.0651,8.419586,354.3785
0,0.8887678,-0.003921392,1.90439,0.4071405,-0.05544593,0.07137351,-0.04466235,0.9949055,354.0332,8.497895,354.4156
0,0.8964872,-0.003918388,1.90442,0.4071829,-0.05574999,0.07204916,-0.04427444,0.9948571,353.999,8.575409,354.4533
0,0.9042365,-0.003921873,1.904435,0.4072283,-0.0560017,0.07260407,-0.04390385,0.994819,353.9701,8.638763,354.4902
0,0.913409,-0.003891094,1.904395,0.4072251,-0.0562383,0.07315294,-0.04365131,0.9947766,353.9439,8.702027,354.5137
0,0.9258862,-0.003890028,1.904396,0.4072529,-0.05646018,0.07364365,-0.04343326,0.9947374,353.9193,8.758698,354.5336
0,0.9381285,-0.003889768,1.904401,0.4072782,-0.05661121,0.07413974,-0.04312372,0.9947054,353.902,8.814973,354.5647
0,0.9501874,-0.003901208,1.904388,0.4073113,-0.05673543,0.07466854,-0.04282519,0.9946716,353.8881,8.87491,354.5946
0,0.9628618,-0.00390044,1.904385,0.4073394,-0.05688614,0.075117,-0.04261165,0.9946385,353.8714,8.926269,354.6149
0,0.9751248,-0.003895191,1.90441,0.4073139,-0.05695673,0.07547297,-0.04236445,0.994618,353.863,8.966248,354.6404
0,0.9880592,-0.003901938,1.904405,0.4073407,-0.05705153,0.07583864,-0.04222336,0.9945908,353.8529,9.008147,354.6535
0,0.9999574,-0.003915556,1.904402,0.4073651,-0.05715388,0.07625008,-0.04208528,0.9945593,353.8422,9.05539,354.6658
0,1.012371,-0.003969509,1.904422,0.4073359,-0.05720646,0.07656672,-0.04193456,0.9945382,353.8365,9.091311,354.6806
0,1.025038,-0.003984443,1.904423,0.4073474,-0.05722114,0.07685717,-0.04179274,0.994521,353.8351,9.124022,354.695
0,1.04628,-0.004051673,1.90438,0.4073871,-0.05724405,0.07703961,-0.04165317,0.9945115,353.8321,9.144347,354.7097
0,1.054591,-0.004075294,1.904378,0.4074025,-0.05721411,0.07723118,-0.04155068,0.9945027,353.8356,9.165619,354.7205
0,1.062273,-0.004090336,1.904357,0.4074138,-0.05725677,0.07742623,-0.04147202,0.9944883,353.8311,9.187897,354.7279
0,1.07437,-0.004067117,1.90428,0.4074389,-0.05715525,0.07755101,-0.04138998,0.9944878,353.8426,9.201142,354.7376
0,1.086704,-0.004076287,1.90425,0.4074542,-0.05708005,0.07768424,-0.0413507,0.9944834,353.8515,9.21579,354.742
0,1.099617,-0.00409135,1.904222,0.4074761,-0.05697118,0.07779206,-0.04130618,0.994483,353.8641,9.227264,354.7475
0,1.111806,-0.004106536,1.90419,0.4075172,-0.05691228,0.07784154,-0.04127717,0.9944837,353.8708,9.232422,354.7511
0,1.124297,-0.004051908,1.904204,0.4074593,-0.05681913,0.0779947,-0.04125936,0.9944777,353.8821,9.24939,354.7531
0,1.13713,-0.004063134,1.904185,0.4074873,-0.05674581,0.07795941,-0.0412866,0.9944836,353.8905,9.245024,354.7509
0,1.14964,-0.004027421,1.904152,0.4074436,-0.05674962,0.07797927,-0.04125736,0.994483,353.89,9.247163,354.7542
0,1.16243,-0.004034345,1.904122,0.4074657,-0.0567173,0.07807909,-0.04136523,0.9944726,353.8952,9.259123,354.7415
0,1.174424,-0.004040672,1.90411,0.4074841,-0.05664075,0.07819574,-0.04139582,0.9944665,353.9048,9.272278,354.738
0,1.187327,-0.004025215,1.904098,0.4074901,-0.05663214,0.07828341,-0.04146352,0.9944573,353.9069,9.282746,354.7298
0,1.208688,-0.004026609,1.904095,0.4075012,-0.05659996,0.07843267,-0.0414769,0.9944468,353.9115,9.299835,354.7277
0,1.216562,-0.004023675,1.904129,0.4075188,-0.05666227,0.07851484,-0.04134956,0.994442,353.9036,9.30893,354.7411
0,1.224595,-0.004031883,1.904132,0.4075489,-0.05670202,0.07860853,-0.0411976,0.9944387,353.8981,9.319061,354.7576
0,1.237574,-0.00403779,1.904138,0.4075743,-0.05676795,0.0787865,-0.04115191,0.9944228,353.8911,9.339722,354.7611
0,1.249222,-0.00402894,1.904132,0.4075757,-0.05686881,0.07904959,-0.04113167,0.9943969,353.8808,9.370575,354.7608
