scene,time,headsetLocationX,headsetLocationY,headsetLocationZ,headsetRotationX,headsetRotationY,headsetRotationZ,headsetRotationW,headsetRotationEulerX,headsetRotationEulerY,headsetRotationEulerZ
0,0,0.0213001,1.993313,0.006682409,0.08745252,-0.02132366,-0.02587359,-0.9956043,349.9074,2.208191,2.782302
0,0.03333334,0.0213778,1.993227,0.006768127,0.08728072,-0.02114493,-0.02566684,-0.9956285,349.9281,2.190003,2.760455
0,0.06666667,0.02141014,1.993211,0.006895571,0.08712962,-0.02138315,-0.0254676,-0.9956418,349.9453,2.220016,2.735188
0,0.1,0.02139945,1.993252,0.006968603,0.08698305,-0.02174484,-0.02547472,-0.9956466,349.9611,2.262222,2.732594
0,0.1333333,0.02134955,1.993219,0.007051142,0.08719576,-0.02204249,-0.02549729,-0.9956208,349.9358,2.29599,2.731787
0,0.1666667,0.02139187,1.99328,0.007133606,0.08709181,-0.02240263,-0.02561749,-0.9956188,349.9465,2.336761,2.742247
0,0.2,0.02145368,1.993389,0.00712382,0.08753598,-0.022838,-0.02550116,-0.9955729,349.8945,2.387375,2.723456
0,0.2333333,0.02147613,1.993542,0.00721405,0.08833857,-0.02365947,-0.0257972,-0.9954753,349.7992,2.477692,2.747734
0,0.2666667,0.02147491,1.993725,0.007405018,0.08930197,-0.02509134,-0.02576371,-0.9953551,349.6846,2.641876,2.726913
0,0.3,0.02161193,1.993963,0.007617475,0.08994462,-0.02759637,-0.02502299,-0.9952499,349.606,2.938874,2.613141
0,0.3333333,0.02184881,1.994169,0.007937958,0.09086953,-0.0303453,-0.02602802,-0.99506,349.4892,3.24527,2.698129
0,0.3666667,0.0222268,1.994233,0.008453448,0.09175114,-0.03322264,-0.02725577,-0.9948543,349.3756,3.56424,2.807137
0,0.4,0.02274968,1.994309,0.008902959,0.09191018,-0.03663307,-0.02769406,-0.9947078,349.3461,3.955215,2.820628
0,0.4333333,0.02336608,1.994409,0.009305573,0.09285156,-0.03969046,-0.02836744,-0.9944841,349.2263,4.301055,2.86205
0,0.4666667,0.0240994,1.994715,0.009677391,0.09481733,-0.04314815,-0.02903088,-0.9941354,348.9872,4.691528,2.892847
0,0.5,0.02483402,1.995032,0.01013098,0.09652291,-0.04665804,-0.02965438,-0.9937942,348.7778,5.08931,2.918013
0,0.5333334,0.02552499,1.995467,0.01060337,0.09920921,-0.0508854,-0.03044028,-0.9932983,348.4521,5.56717,2.947262
0,0.5666667,0.02627131,1.996012,0.01120444,0.1019487,-0.0554081,-0.03134843,-0.9927506,348.1182,6.07843,2.984179
0,0.6000001,0.02713917,1.996459,0.01180196,0.1044598,-0.05956217,-0.03272732,-0.9922044,347.8079,6.541793,3.078961
0,0.6333334,0.02791731,1.996828,0.01238876,0.1063574,-0.06340735,-0.03303412,-0.9917542,347.5757,6.983857,3.054373
0,0.6666668,0.02849856,1.997181,0.01299931,0.1085895,-0.0674417,-0.03295629,-0.9912486,347.3072,7.453156,2.978349
0,0.7000002,0.02915908,1.997494,0.01357868,0.1102879,-0.07066663,-0.03302697,-0.9908339,347.1017,7.827393,2.932063
0,0.7333335,0.02970753,1.997691,0.01411625,0.1113633,-0.07342361,-0.03296947,-0.9905152,346.9703,8.149764,2.880556
0,0.7666669,0.03010038,1.997759,0.01459496,0.1119096,-0.0754341,-0.03277612,-0.9903089,346.9033,8.387329,2.826752
0,0.8000003,0.03045309,1.997959,0.0149101,0.1130086,-0.07720914,-0.03265245,-0.9900514,346.7729,8.596053,2.779421
0,0.8333336,0.03078114,1.998207,0.01528371,0.1141622,-0.07872497,-0.03265501,-0.9897995,346.636,8.772872,2.749413
0,0.866667,0.03119448,1.998389,0.01564575,0.1153425,-0.08015241,-0.03264708,-0.9895483,346.4963,8.939651,2.718734
0,0.9000003,0.03140909,1.998502,0.0160361,0.1158283,-0.08144747,-0.03225298,-0.9893986,346.4405,9.096818,2.650486
0,0.9333337,0.0315732,1.998621,0.01637405,0.1162091,-0.0823554,-0.03205825,-0.9892853,346.3961,9.205931,2.611701
0,0.9666671,0.0316856,1.998701,0.01651333,0.1166613,-0.08275881,-0.0315898,-0.9892134,346.3474,9.259612,2.547316
0,1,0.03187781,1.998823,0.01669986,0.1171118,-0.08285119,-0.03107851,-0.9891687,346.3001,9.277421,2.482272
0,1.033334,0.03182579,1.998965,0.01673868,0.1175854,-0.08283445,-0.03078175,-0.9891232,346.2484,9.279466,2.44359
1,0,0.01987839,1.992979,0.002060155,-0.08379143,-0.001522726,0.02528803,0.9961612,350.3946,359.5775,2.943841
1,0.03333334,0.01993986,1.992894,0.00202001,-0.08371726,-0.001775588,0.02550389,0.9961615,350.4039,359.5463,2.971234
1,0.06666667,0.02010113,1.99302,0.0019331,-0.08428119,-0.00203415,0.0252002,0.9961213,350.3397,359.5176,2.939122
1,0.1,0.02012049,1.993119,0.001823693,-0.08502731,-0.002437341,0.02530781,0.9960542,350.2552,359.4675,2.956315
1,0.1333333,0.02014357,1.99319,0.001700216,-0.08567093,-0.002753711,0.02535615,0.995997,350.1822,359.4284,2.965742
1,0.1666667,0.02023778,1.993403,0.001481177,-0.08656251,-0.003969315,0.02552261,0.9959115,350.0834,359.2831,2.998234
1,0.2,0.02037794,1.993793,0.0009498256,-0.08886787,-0.006866957,0.02536678,0.9956967,349.8269,358.9415,3.012974
1,0.2333333,0.02061126,1.994428,0.0002881671,-0.09299839,-0.01055882,0.02557876,0.9952816,349.3634,358.4972,3.084262
