scene,time,locationX,locationY,locationZ
0,0,-0.4366798,2.361578,-6.072196
0,0.0122583,-0.422563,2.361175,-6.069952
0,0.0245166,-0.4099987,2.35977,-6.067955
0,0.040204,-0.4046519,2.356185,-6.067105
0,0.0513268,-0.4162982,2.350981,-6.068956
0,0.062692,-0.4207689,2.344743,-6.069667
0,0.0738795,-0.4324113,2.339927,-6.071517
0,0.0845519,-0.4338422,2.338856,-6.071745
0,0.0979381,-0.4227955,2.343304,-6.069989
0,0.1100277,-0.4146345,2.347641,-6.068692
0,0.1230318,-0.3911041,2.361365,-6.064951
0,0.1361325,-0.3711592,2.372499,-6.061781
0,0.1492612,-0.3474793,2.386147,-6.058017
0,0.1604812,-0.3244607,2.399294,-6.054358
0,0.1716025,-0.3021165,2.413295,-6.050807
0,0.1833385,-0.2723499,2.429959,-6.046075
0,0.1956725,-0.2391509,2.452112,-6.040798
0,0.2075243,-0.1918849,2.486102,-6.033285
0,0.2213495,-0.1233095,2.533676,-6.022385
0,0.2328099,-0.06312488,2.57027,-6.012818
0,0.2442265,0.02518052,2.613002,-5.998782
0,0.2572839,0.09164369,2.645189,-5.988217
0,0.2694467,0.1531616,2.677678,-5.978439
0,0.2841621,0.1919316,2.702014,-5.972276
0,0.2949218,0.2377468,2.736676,-5.964994
0,0.306908,0.2933174,2.774569,-5.956161
0,0.3177295,0.3568009,2.814264,-5.94607
0,0.3293619,0.4140278,2.847558,-5.936974
0,0.3412966,0.4744112,2.884784,-5.927375
0,0.3538586,0.5186511,2.915664,-5.920343
0,0.3648458,0.5543829,2.942319,-5.914664
0,0.3759739,0.5934883,2.969014,-5.908448
0,0.3873174,0.6256265,2.98743,-5.903339
0,0.3985272,0.664669,3.002346,-5.897133
0,0.4097302,0.708873,3.017536,-5.890107
0,0.4213895,0.7516956,3.021673,-5.8833
0,0.43352,0.7939081,3.032578,-5.876591
0,0.4445992,0.8165768,3.039304,-5.872987
0,0.4561105,0.8376518,3.050844,-5.869637
0,0.4694008,0.8545894,3.060819,-5.866945
0,0.4818393,0.8725912,3.066251,-5.864084
0,0.4942315,0.8957765,3.068637,-5.860398
0,0.504922,0.9349838,3.074521,-5.854167
0,0.5158468,0.9716421,3.082301,-5.84834
0,0.527172,1.000727,3.090052,-5.843716
0,0.5374081,1.023173,3.102335,-5.840148
0,0.5488542,1.030049,3.134342,-5.839056
0,0.561094,1.038611,3.166277,-5.837695
0,0.5722473,1.05213,3.190757,-5.835546
0,0.5828843,1.067202,3.218078,-5.83315
0,0.5952516,1.081198,3.236037,-5.830925
0,0.6051338,1.095931,3.250156,-5.828583
0,0.6159636,1.10161,3.26084,-5.827681
0,0.62661,1.10681,3.270538,-5.826854
0,0.6379166,1.116439,3.277483,-5.825324
