scene,time,headsetLocationX,headsetLocationY,headsetLocationZ
0,0,-0.955423,1.27435,-0.2832235
0,0.0122583,-0.9553226,1.274223,-0.2831019
0,0.0245166,-0.9553917,1.274351,-0.2831925
0,0.040204,-0.9554006,1.274321,-0.2831827
0,0.0513268,-0.955417,1.274169,-0.2830023
0,0.062692,-0.9554915,1.274292,-0.2831498
0,0.0738795,-0.9554793,1.274298,-0.2831452
0,0.0845519,-0.9554796,1.274314,-0.2831246
0,0.0979381,-0.9554484,1.274363,-0.2831287
0,0.1100277,-0.9553919,1.274447,-0.2831216
0,0.1230318,-0.9553315,1.274501,-0.2831186
0,0.1361325,-0.955294,1.274575,-0.2831323
0,0.1492612,-0.9551774,1.274503,-0.2829999
0,0.1604812,-0.9551491,1.274704,-0.2831271
0,0.1716025,-0.9550562,1.274781,-0.2831429
0,0.1833385,-0.9548999,1.274861,-0.2831782
0,0.1956725,-0.9547942,1.274934,-0.283206
0,0.2075243,-0.9546615,1.275003,-0.2832132
0,0.2213495,-0.9545377,1.275078,-0.2831578
0,0.2328099,-0.9544126,1.275161,-0.2831553
0,0.2442265,-0.9541758,1.275395,-0.2831529
0,0.2572839,-0.9540634,1.275525,-0.283183
0,0.2694467,-0.9539342,1.275645,-0.2832052
0,0.2841621,-0.9537974,1.275728,-0.2832046
0,0.2949218,-0.95368,1.275821,-0.28319
0,0.306908,-0.9535482,1.275917,-0.2831523
0,0.3177295,-0.9534186,1.275975,-0.2830971
0,0.3293619,-0.953306,1.276044,-0.2830443
0,0.3412966,-0.9532011,1.27609,-0.2829884
0,0.3538586,-0.9530562,1.276174,-0.2829527
0,0.3648458,-0.9529843,1.276233,-0.2829067
0,0.3759739,-0.9529153,1.276271,-0.2828712
0,0.3873174,-0.9528749,1.276294,-0.2827549
0,0.3985272,-0.9528152,1.276343,-0.2827061
0,0.4097302,-0.9527327,1.276366,-0.2826374
0,0.4213895,-0.9527304,1.276341,-0.2825335
0,0.43352,-0.9526621,1.276342,-0.2824383
0,0.4445992,-0.9526131,1.276352,-0.2823462
0,0.4561105,-0.9524505,1.276395,-0.2821801
0,0.4694008,-0.9523755,1.27644,-0.2820941
0,0.4818393,-0.9522659,1.276466,-0.2820321
0,0.4942315,-0.9521664,1.276494,-0.2819465
0,0.504922,-0.9520389,1.276526,-0.2818793
0,0.5158468,-0.9519564,1.276574,-0.2818053
0,0.527172,-0.9518681,1.276645,-0.2817645
0,0.5374081,-0.9517608,1.276731,-0.2817214
0,0.5488542,-0.9516753,1.276791,-0.2816736
0,0.561094,-0.9515585,1.276887,-0.2816136
0,0.5722473,-0.9514394,1.276964,-0.2815531
0,0.5828843,-0.9513266,1.277007,-0.2814285
0,0.5952516,-0.9512118,1.277094,-0.2813346
0,0.6051338,-0.9510219,1.277042,-0.2810872
0,0.6159636,-0.9509593,1.277229,-0.2811342
0,0.62661,-0.950856,1.277288,-0.2810465
0,0.6379166,-0.9507005,1.277191,-0.2807968
0,0.6493775,-0.9506305,1.277326,-0.2807607
0,0.6601249,-0.9505633,1.277341,-0.280611
0,0.6776743,-0.9504988,1.27723,-0.2802748
0,0.690218,-0.9504567,1.277361,-0.280251
0,0.7007719,-0.9503876,1.277387,-0.2801058
0,0.7132246,-0.9502958,1.277407,-0.2799671
0,0.7252569,-0.9502161,1.277427,-0.2797076
0,0.7379922,-0.9501575,1.277448,-0.2795578
0,0.7496143,-0.9501172,1.277424,-0.2793932
0,0.7608805,-0.950086,1.277419,-0.2792299
0,0.7718832,-0.9500422,1.277305,-0.278937
0,0.7836291,-0.950029,1.277422,-0.278865
0,0.7949067,-0.9499861,1.277452,-0.2786897
0,0.807955,-0.9498905,1.277322,-0.278371
0,0.8199183,-0.9498959,1.277489,-0.2782881
0,0.8316353,-0.9498537,1.277544,-0.2781197
0,0.8420991,-0.9497519,1.277488,-0.2778553
0,0.852785,-0.9497281,1.277646,-0.2778389
1,0,-0.9803874,1.22894,-0.1189733
1,0.011269,-0.9803189,1.228781,-0.1188096
1,0.022538,-0.9802334,1.228826,-0.1189352
1,0.0354676,-0.9800391,1.228716,-0.1189088
1,0.0468243,-0.9799521,1.228624,-0.1189375
1,0.0592855,-0.979859,1.228537,-0.1189502
1,0.0703506,-0.9797092,1.228306,-0.1188115
1,0.0816583,-0.9796317,1.228345,-0.1190045
1,0.092732,-0.9795235,1.228268,-0.1190332
1,0.1042,-0.9793459,1.228001,-0.1189331
1,0.1155105,-0.9792669,1.227999,-0.1190889
1,0.1262013,-0.9791856,1.227848,-0.1190862
1,0.1376701,-0.9790999,1.227701,-0.1190957
1,0.1484756,-0.9789253,1.227541,-0.1191911
1,0.1598138,-0.9787967,1.227339,-0.1192079
1,0.1707778,-0.9786329,1.227022,-0.1190751
1,0.1829509,-0.9785649,1.226919,-0.119313
1,0.1933589,-0.9784337,1.226684,-0.1193652
1,0.2044622,-0.9782749,1.226288,-0.1192415
1,0.2159748,-0.9781948,1.226188,-0.1193945
1,0.2273362,-0.9780564,1.225926,-0.1193889
1,0.2378062,-0.9778388,1.225538,-0.1192333
1,0.2495232,-0.9777085,1.225415,-0.1194648
1,0.26055,-0.977527,1.22516,-0.119509
1,0.2712348,-0.9772377,1.224758,-0.1194042
1,0.2828045,-0.9771469,1.22468,-0.1195595
1,0.2936426,-0.9769937,1.224437,-0.1195439
1,0.3051643,-0.9768299,1.224074,-0.1193944
1,0.316866,-0.9767627,1.223948,-0.119574
1,0.3274748,-0.9766173,1.223771,-0.1196066
1,0.3384952,-0.9764188,1.223444,-0.1195624
1,0.3495576,-0.9763658,1.223349,-0.1198048
1,0.360837,-0.9762612,1.223126,-0.1198202
1,0.372514,-0.9761291,1.22276,-0.1196577
1,0.3837802,-0.9760745,1.222572,-0.1197156
1,0.3943763,-0.9760137,1.222315,-0.1196607
1,0.4052584,-0.975888,1.221913,-0.1195201
1,0.4172626,-0.975848,1.221709,-0.1196628
1,0.4275477,-0.9758136,1.221395,-0.1196216
1,0.4391149,-0.9757043,1.220977,-0.1194314
1,0.4515405,-0.9756943,1.220816,-0.1194907
1,0.4616808,-0.9756701,1.220566,-0.1194504
1,0.4725717,-0.9755772,1.220213,-0.1192938
1,0.4836579,-0.975556,1.220168,-0.1194302
1,0.4956033,-0.9755054,1.220069,-0.1194029
1,0.5059595,-0.9753284,1.219835,-0.1192547
1,0.51741,-0.9752662,1.219877,-0.1193624
1,0.5288566,-0.9751545,1.219912,-0.1193776
1,0.5406507,-0.9749878,1.219833,-0.1192857
1,0.5521372,-0.9749407,1.219942,-0.1194338
1,0.5636191,-0.9748909,1.21997,-0.1194434
1,0.5760004,-0.974749,1.219892,-0.1193418
