scene,time,locationX,locationY,locationZ
0,0,0.004998207,0.03374267,0.03899199
0,0.0126315,0.004998207,0.0334332,0.04156587
0,0.025263,0.004998207,0.03490233,0.0409961
0,0.0376737,0.004998207,0.0361073,0.03828427
0,0.0502244,0.004998207,0.03673148,0.03671509
0,0.0629385,0.004998207,0.03394675,0.03937015
0,0.09121811,0.004998207,0.0275979,0.04215366
0,0.09843791,0.004998207,0.02346492,0.0402995
0,0.1061466,0.004998207,0.02064872,0.03851357
0,0.1139816,0.004998207,0.02023387,0.03589353
0,0.1262242,0.004998207,0.02219701,0.03461927
0,0.1384235,0.004998207,0.02755094,0.03568825
0,0.1506115,0.004998207,0.03152537,0.03926685
0,0.1631293,0.004998207,0.03476024,0.04131895
0,0.1755042,0.004998207,0.03812742,0.03981948
0,0.1883223,0.004998207,0.04229259,0.0366073
0,0.2010316,0.004998207,0.04874158,0.03405222
0,0.2132737,0.004998207,0.05399275,0.03370661
0,0.2362892,0.004998207,0.06557608,0.03414801
0,0.2436237,0.004998207,0.07853961,0.0339902
0,0.251313,0.004998207,0.09233403,0.03238815
0,0.2622558,0.004998207,0.1203058,0.03496784
0,0.2746461,0.004998207,0.1490843,0.04134682
0,0.2873428,0.004998207,0.1823649,0.05033398
0,0.2997833,0.004998207,0.2276657,0.06090164
0,0.31212,0.004998207,0.2697833,0.06935146
0,0.3249284,0.004998207,0.3141801,0.07722399
0,0.3374099,0.004998207,0.3585579,0.08266202
0,0.3501461,0.004998207,0.4077349,0.09070376
0,0.362917,0.004998207,0.4493189,0.1001948
0,0.3753553,0.004998207,0.4881256,0.1105909
0,0.3977964,0.004998207,0.5443869,0.1288633
0,0.4049669,0.004998207,0.5658453,0.1432092
0,0.4124676,0.004998207,0.5961788,0.1583156
0,0.4249713,0.004998207,0.6253874,0.1738845
0,0.437404,0.004998207,0.6492941,0.1879489
0,0.4499368,0.004998207,0.6692894,0.2034262
0,0.4627218,0.00499773,0.6834769,0.2124231
0,0.4754595,0.004998207,0.6978383,0.2191688
0,0.4882079,0.004998207,0.7134786,0.2234106
0,0.5000639,0.004998207,0.7336419,0.2295941
0,0.5127701,0.004998207,0.750761,0.2402437
0,0.525622,0.004998207,0.7703161,0.2568018
0,0.548473,0.004998207,0.8056071,0.2842681
0,0.5563818,0.00499773,0.8214355,0.2920066
0,0.5640544,0.004998207,0.849107,0.3021828
0,0.5745698,0.004998207,0.8778024,0.3156212
0,0.587084,0.004998207,0.9054654,0.3329054
0,0.5996122,0.00499773,0.935107,0.3555121
0,0.6122295,0.004998207,0.9574568,0.3705799
0,0.6247461,0.00499773,0.9762058,0.3822559
0,0.6375378,0.004998207,0.9924128,0.3910805
0,0.6506522,0.004998207,1.012247,0.4038277
0,0.6624352,0.004998207,1.025703,0.4162883
0,0.6750875,0.00499773,1.038619,0.4298785
0,0.6882523,0.004998207,1.056041,0.4464079
0,0.7109001,0.004998207,1.081395,0.4717126
0,0.7193268,0.004998207,1.097791,0.4812142
0,0.7274318,0.004998207,1.120395,0.49551
0,0.7370759,0.004998207,1.147241,0.5116463
0,0.7497281,0.004998207,1.181268,0.5298131
0,0.7625985,0.004998207,1.209863,0.5461856
0,0.774868,0.00499773,1.239176,0.5662141
0,0.7873167,0.004998207,1.269313,0.5859182
0,0.7997102,0.004998207,1.305261,0.6079558
0,0.8124868,0.004998207,1.337102,0.6267316
0,0.8252446,0.00499773,1.369537,0.6444935
0,0.8377762,0.004998207,1.40301,0.6608952
0,0.8502016,0.00499773,1.439143,0.6782599
0,0.872755,0.00499773,1.485818,0.7026598
0,0.880824,0.004998207,1.502064,0.7100993
0,0.8882739,0.004998207,1.532494,0.7237213
0,0.8996144,0.004998207,1.566945,0.738622
0,0.9120706,0.00499773,1.593177,0.7518322
0,0.9248624,0.004998207,1.616445,0.7666957
0,0.9376737,0.004998207,1.637657,0.7807079
0,0.9500855,0.00499773,1.662037,0.7997935
0,0.9625764,0.00499773,1.681482,0.8105683
0,0.9753685,0.004998207,1.700037,0.8168469
0,0.9879669,0.004998207,1.716501,0.8228157
0,1.00121,0.00499773,1.72636,0.8298035
0,1.02313,0.004998207,1.743385,0.8402498
0,1.030615,0.00499773,1.745738,0.8422086
0,1.038151,0.00499773,1.75377,0.8435368
0,1.050068,0.00499773,1.762359,0.8470535
0,1.062474,0.004998207,1.76561,0.8545164
0,1.075319,0.00499773,1.768526,0.8625432
0,1.0885,0.00499773,1.768131,0.8684188
0,1.100104,0.00499773,1.76796,0.8725447
0,1.113029,0.004998207,1.770708,0.8734159
0,1.125486,0.004998207,1.772764,0.8716864
0,1.13779,0.004998207,1.774256,0.8716206
0,1.150393,0.004998207,1.773739,0.8683125
0,1.163859,0.00499773,1.77213,0.8668297
0,1.18751,0.004998207,1.770122,0.8644662
0,1.196208,0.004998207,1.769481,0.8655569
0,1.20342,0.004998207,1.768667,0.8663034
0,1.214162,0.00499773,1.770161,0.8622372
0,1.226833,0.00499773,1.77001,0.8566329
0,1.239436,0.00499773,1.770942,0.8500022
0,1.251092,0.004998207,1.769364,0.8438649
0,1.263537,0.00499773,1.767667,0.8392836
0,1.276403,0.004998207,1.768274,0.833898
0,1.288416,0.004998207,1.767906,0.8319504
0,1.300836,0.00499773,1.769652,0.8290387
0,1.31337,0.00499773,1.771363,0.8244309
0,1.326053,0.00499773,1.773129,0.8178231
0,1.350035,0.00499773,1.773401,0.8070906
0,1.35874,0.004998207,1.77125,0.8052464
0,1.366353,0.004998207,1.765653,0.8063837
0,1.37678,0.004998207,1.762297,0.8046921
0,1.389175,0.004998207,1.761708,0.7983708
0,1.401572,0.004998207,1.764331,0.7907144
0,1.413972,0.00499773,1.765428,0.7857389
0,1.426469,0.004998207,1.766016,0.7844561
0,1.438728,0.004998207,1.767637,0.7849434
0,1.451204,0.004998207,1.766622,0.7843705
0,1.463429,0.00499773,1.767426,0.7830181
0,1.476198,0.004998207,1.764838,0.7792097
0,1.498059,0.004998207,1.758708,0.7737775
0,1.506487,0.004998207,1.755248,0.7751941
0,1.513576,0.004998207,1.750411,0.7743207
0,1.524848,0.00499773,1.74709,0.7731492
1,0,0.004998207,0.06070495,0.02263081
1,0.0121417,0.004998207,0.05508256,0.02444687
1,0.0242834,0.004998207,0.04920936,0.0281705
1,0.0369057,0.004998207,0.04687095,0.03486687
1,0.0493419,0.004998207,0.04660678,0.04098943
1,0.061753,0.004998207,0.04718089,0.04517844
1,0.0747187,0.004998207,0.04861331,0.05289167
