scene,time,controllerLocationX,controllerLocationY,controllerLocationZ,controllerRotationX,controllerRotationY,controllerRotationZ,controllerRotationW,controllerRotationEulerX,controllerRotationEulerY,controllerRotationEulerZ
0,0,-1.153695,0.9480853,-0.4795914,0.3042143,-0.9501697,-0.06767994,0.007138133,352.8613,183.1627,324.2958
0,0.0355136,-1.153274,0.9480206,-0.4793733,0.3051785,-0.9499706,-0.06628346,0.005345374,352.9536,182.9232,324.2007
0,0.0710272,-1.152909,0.9481256,-0.4792331,0.3054449,-0.9499086,-0.06605086,0.003814548,352.9258,182.7491,324.1794
0,0.0874431,-1.152754,0.9485444,-0.4791247,0.3057611,-0.9498006,-0.06621072,0.002354771,352.8577,182.5972,324.1489
0,0.1018298,-1.152312,0.9489239,-0.4788615,0.3057567,-0.949742,-0.06710424,0.0004607737,352.6932,182.4217,324.1548
0,0.1162661,-1.15184,0.949564,-0.4789041,0.3053893,-0.9497964,-0.06799152,-0.001227051,352.5359,182.2656,324.2037
0,0.1301373,-1.151374,0.9499664,-0.4786237,0.3051237,-0.9498007,-0.06906756,-0.002835363,352.361,182.1257,324.2388
0,0.1459332,-1.150883,0.9504198,-0.4783145,0.3047261,-0.9498289,-0.07033271,-0.004536301,352.162,181.9811,324.2895
0,0.1593648,-1.150367,0.9509903,-0.4783779,0.3045237,-0.9498076,-0.07133783,-0.006473511,351.9836,181.8027,324.3203
0,0.1711444,-1.149709,0.9515285,-0.4780532,0.3043096,-0.9497563,-0.07266772,-0.008848816,351.7543,181.5876,324.3538
0,0.1828501,-1.148867,0.9522451,-0.4776402,0.304959,-0.9493943,-0.07421362,-0.01196465,351.4766,181.3063,324.2871
0,0.1954261,-1.146564,0.9542129,-0.4765152,0.3087032,-0.9477292,-0.07797997,-0.02075735,350.7569,180.5109,323.8748
0,0.2271626,-1.145353,0.9553584,-0.4760503,0.3100962,-0.9470146,-0.07971475,-0.02548635,350.3989,180.0678,323.7326
0,0.2402239,-1.143945,0.9564518,-0.4754032,0.310228,-0.9466066,-0.08211528,-0.03085193,349.9444,179.5659,323.7475
0,0.2525459,-1.142803,0.9575737,-0.4749416,0.3100692,-0.9463139,-0.08424606,-0.0353528,349.5504,179.1455,323.7943
