scene,time,headsetLocationX,headsetLocationY,headsetLocationZ,headsetRotationX,headsetRotationY,headsetRotationZ,headsetRotationW,headsetRotationEulerX,headsetRotationEulerY,headsetRotationEulerZ
0,0,-0.9760449,1.214273,-0.2300301,-0.05988354,-0.9943537,-0.07961656,-0.03654984,351.1437,175.2267,7.26265
0,0.0355136,-0.9760355,1.214275,-0.2300028,-0.05985431,-0.9943467,-0.07971345,-0.03657854,351.1327,175.2228,7.260103
0,0.0710272,-0.9761721,1.214322,-0.2297239,-0.05950412,-0.9943329,-0.08026463,-0.03631884,351.066,175.2515,7.220542
0,0.0874431,-0.9762207,1.214456,-0.2298216,-0.05948637,-0.9943174,-0.08047666,-0.0363043,351.0415,175.2516,7.21962
0,0.1018298,-0.976218,1.214478,-0.2297525,-0.05947023,-0.9942934,-0.08074654,-0.03638896,351.0111,175.2398,7.22013
0,0.1162661,-0.9762163,1.214579,-0.2296853,-0.05939418,-0.9942347,-0.08140466,-0.03664976,350.9372,175.205,7.217649
0,0.1301373,-0.9761806,1.214623,-0.2296137,-0.05936088,-0.9942075,-0.08172516,-0.03672671,350.9008,175.1938,7.216435
0,0.1459332,-0.9761511,1.214607,-0.229475,-0.05924736,-0.994167,-0.08217638,-0.03699842,350.8506,175.1599,7.208522
0,0.1593648,-0.9761792,1.214761,-0.2296404,-0.05929838,-0.9941287,-0.08250672,-0.0372107,350.8145,175.1322,7.218408
0,0.1711444,-0.9761438,1.21481,-0.2295772,-0.05938849,-0.9940785,-0.0829583,-0.03740576,350.7646,175.1051,7.233426
0,0.1828501,-0.9760488,1.214823,-0.2294657,-0.05920317,-0.9940233,-0.08362076,-0.03768837,350.6898,175.0688,7.218697
0,0.1954261,-0.976027,1.215075,-0.2294756,-0.05912102,-0.9939556,-0.08432402,-0.03803444,350.6113,175.0238,7.216826
0,0.2271626,-0.9758044,1.215458,-0.2293293,-0.0588008,-0.9936441,-0.08752435,-0.03941333,350.2528,174.8412,7.213443
0,0.2402239,-0.9757404,1.215584,-0.2292425,-0.05883878,-0.9935304,-0.08842707,-0.04020074,350.1552,174.7422,7.23155
0,0.2525459,-0.9755297,1.215966,-0.2291731,-0.05857202,-0.9933006,-0.09053224,-0.04156312,349.9224,174.5697,7.228465
0,0.2660576,-0.9754059,1.216173,-0.2291088,-0.05823494,-0.9931688,-0.09185181,-0.04228419,349.7744,174.4786,7.205838
0,0.2774211,-0.9752417,1.216373,-0.2289604,-0.0576437,-0.9930235,-0.09339662,-0.04311347,349.6,174.3758,7.156682
0,0.2891341,-0.9751364,1.216732,-0.2289977,-0.05728688,-0.9928855,-0.09476864,-0.04376921,349.4453,174.2921,7.131968
0,0.3027241,-0.9748372,1.217179,-0.2286746,-0.05678118,-0.9925501,-0.0977009,-0.04554942,349.1188,174.0665,7.113967
0,0.3140152,-0.9745523,1.217795,-0.2284367,-0.05614939,-0.9921631,-0.1010159,-0.04749265,348.7485,173.8199,7.087509
0,0.3331243,-0.9742221,1.21842,-0.2282045,-0.05564491,-0.9917168,-0.1046224,-0.04955554,348.3463,173.5551,7.081348
0,0.3557465,-0.9738694,1.21885,-0.2276999,-0.0551016,-0.9912993,-0.1079547,-0.05133688,347.973,173.3255,7.066949
0,0.3939256,-0.9735969,1.219327,-0.2273821,-0.05474594,-0.9909471,-0.1105696,-0.05292687,347.6817,173.1218,7.067436
0,0.4056721,-0.9733735,1.219666,-0.2268889,-0.05482781,-0.9906099,-0.1128466,-0.05432934,347.4309,172.9371,7.114695
0,0.4221851,-0.9730835,1.219877,-0.2262593,-0.05508624,-0.9903243,-0.1146693,-0.05544761,347.2316,172.7869,7.175653
0,0.4447282,-0.9728829,1.22019,-0.2257735,-0.05518014,-0.9900715,-0.1162808,-0.05650145,347.0549,172.6479,7.215211
0,0.4674877,-0.9726896,1.220436,-0.2252304,-0.05590426,-0.9898336,-0.1176274,-0.05716714,346.9106,172.5481,7.321199
0,0.4899797,-0.9724407,1.220555,-0.2246374,-0.05623833,-0.9896449,-0.1188827,-0.05750859,346.7715,172.492,7.376703
0,0.5123584,-0.9723319,1.220811,-0.2242156,-0.05691056,-0.9894651,-0.1198738,-0.05788323,346.6656,172.4297,7.469835
0,0.5517931,-0.9721631,1.220969,-0.2237893,-0.05772948,-0.9893078,-0.1207445,-0.05795136,346.5724,172.4022,7.574921
0,0.5649132,-0.9720882,1.220989,-0.2232773,-0.05863471,-0.9891877,-0.1212391,-0.05805883,346.5234,172.3724,7.687071
0,0.5787949,-0.9720303,1.221144,-0.2228742,-0.0593717,-0.9891323,-0.1213788,-0.05796254,346.5123,172.3721,7.773311
0,0.6018005,-0.9719497,1.221285,-0.2225267,-0.05999304,-0.9890537,-0.12183,-0.05771694,346.4633,172.3878,7.847025
0,0.6231659,-0.9718964,1.221297,-0.2221243,-0.06056094,-0.9889646,-0.1223457,-0.0575611,346.4073,172.393,7.916371
0,0.6455516,-0.9718101,1.221421,-0.2219899,-0.06115074,-0.9888812,-0.1228085,-0.05738422,346.3572,172.4008,7.987484
0,0.6686565,-0.9717167,1.221529,-0.2217962,-0.06160217,-0.9887973,-0.1232614,-0.05737531,346.3086,172.3909,8.044662
0,0.7073002,-0.9715977,1.221529,-0.2215828,-0.06199918,-0.9887199,-0.1236631,-0.05741736,346.2659,172.3763,8.095702
0,0.7202857,-0.9715433,1.221649,-0.2215523,-0.06237596,-0.9886671,-0.1238944,-0.05741957,346.2422,172.3683,8.142141
0,0.7358196,-0.9715521,1.221761,-0.2214518,-0.06268375,-0.9886109,-0.1241249,-0.05755383,346.2192,172.3459,8.182364
0,0.7579983,-0.9714795,1.221734,-0.2213271,-0.06304419,-0.9885558,-0.1244269,-0.05745447,346.1866,172.3493,8.226188
0,0.7802486,-0.9714544,1.221835,-0.2213263,-0.06320381,-0.9885305,-0.1245245,-0.05750242,346.177,172.3404,8.246533
0,0.8029863,-0.9714357,1.221791,-0.2212834,-0.0632799,-0.9885126,-0.1246345,-0.05748802,346.1648,172.3399,8.256343
0,0.8252724,-0.9714597,1.221841,-0.2214085,-0.06337178,-0.9885057,-0.1246433,-0.0574877,346.1645,172.3385,8.267186
0,0.857182,-0.9714373,1.221815,-0.2215273,-0.06359282,-0.9885284,-0.1243282,-0.05753335,346.2028,172.3334,8.290564
0,0.869838,-0.9714344,1.221769,-0.2215303,-0.06374221,-0.9885382,-0.1241145,-0.05766159,346.2295,172.3185,8.307721
0,0.883317,-0.9713893,1.221698,-0.2215307,-0.06370884,-0.9885579,-0.1239895,-0.05763003,346.2434,172.324,8.302116
0,0.8966652,-0.9713828,1.221635,-0.2216778,-0.06383418,-0.9885921,-0.1235852,-0.05777231,346.2919,172.3098,8.314734
0,0.9165506,-0.9713387,1.221671,-0.2218012,-0.0638429,-0.9886242,-0.1232768,-0.05787295,346.3282,172.3012,8.314068
0,0.929782,-0.9713089,1.221589,-0.2218614,-0.06381042,-0.9886701,-0.1229131,-0.05789888,346.3699,172.3024,8.306981
0,0.942683,-0.9712663,1.22149,-0.2219251,-0.0637494,-0.9887069,-0.1226711,-0.05785054,346.3969,172.3115,8.296743
0,0.9551345,-0.9712759,1.221362,-0.2221996,-0.06333986,-0.9887668,-0.1223455,-0.05796543,346.432,172.3071,8.247157
0,0.9685853,-0.9712209,1.221271,-0.2222693,-0.06331835,-0.9887784,-0.1222787,-0.0579327,346.4392,172.312,8.243519
0,0.9821123,-0.9711947,1.221283,-0.2223307,-0.06351874,-0.9887705,-0.1221929,-0.05802932,346.4514,172.2988,8.267447
0,1.01559,-0.9711285,1.221045,-0.2224926,-0.06384838,-0.9888015,-0.1215297,-0.05852973,346.5343,172.2426,8.306261
0,1.028672,-0.9711298,1.221132,-0.2226341,-0.06386954,-0.9888412,-0.121253,-0.05841014,346.5652,172.2592,8.304319
0,1.041494,-0.971137,1.221107,-0.2226896,-0.06359325,-0.9888877,-0.121022,-0.05840418,346.5895,172.2661,8.269608
0,1.054133,-0.9711422,1.221169,-0.222769,-0.0632913,-0.9889577,-0.1207429,-0.05812269,346.6169,172.3061,8.227665
0,1.067177,-0.9711553,1.221046,-0.2228073,-0.06333154,-0.989014,-0.1204482,-0.05773112,346.6477,172.3543,8.224113
0,1.080519,-0.9712099,1.22107,-0.2228779,-0.06344342,-0.9890568,-0.1201308,-0.0575349,346.6834,172.379,8.231397
0,1.092725,-0.9712288,1.220977,-0.2228637,-0.06365775,-0.9890544,-0.1200755,-0.05745411,346.6907,172.3861,8.254817
0,1.105141,-0.9712492,1.220888,-0.2228401,-0.06368225,-0.9890658,-0.1200338,-0.05732051,346.6946,172.4018,8.25546
0,1.119275,-0.9712868,1.220934,-0.2229376,-0.06370044,-0.989091,-0.1198759,-0.05719414,346.7118,172.418,8.254323
0,1.132203,-0.9712836,1.220877,-0.222921,-0.06374464,-0.9890921,-0.1200057,-0.0568518,346.6944,172.456,8.256126
0,1.164847,-0.9714133,1.220871,-0.222875,-0.06355296,-0.9890917,-0.1202052,-0.05665222,346.6684,172.4799,8.23295
0,1.178096,-0.9714178,1.220837,-0.2228436,-0.06361513,-0.9890994,-0.1201429,-0.05658171,346.6754,172.4879,8.238654
0,1.190387,-0.971434,1.220853,-0.2227991,-0.06366885,-0.9891157,-0.1199349,-0.05667603,346.7005,172.4783,8.244188
