scene,time,locationX,locationY,locationZ
0,0,0.005000114,0.07897496,0.04980248
0,0.0355136,0.004999638,0.07402873,0.05163392
0,0.0710272,0.004999638,0.06506419,0.02858448
0,0.0874431,0.004999638,0.06782174,0.0117631
0,0.1018298,0.005000114,0.07476425,-0.002744019
0,0.1162661,0.004999638,0.09094691,-0.01976626
0,0.1301373,0.004999638,0.1066892,-0.03499173
0,0.1459332,0.004999638,0.1239359,-0.04867318
0,0.1593648,0.004999638,0.1435816,-0.06281668
0,0.1711444,0.005000114,0.1613331,-0.08019622
0,0.1828501,0.005000114,0.1840413,-0.1011813
0,0.1954261,0.004999638,0.2116649,-0.1286024
0,0.2271626,0.004999638,0.2837126,-0.2061133
0,0.2402239,0.004999638,0.3199232,-0.2492495
0,0.2525459,0.004999638,0.3657129,-0.2981825
0,0.2660576,0.004999638,0.4057434,-0.3391599
0,0.2774211,0.004999638,0.460294,-0.3906562
0,0.2891341,0.004999638,0.5283022,-0.4562413
0,0.3027241,0.005000114,0.5823209,-0.50942
0,0.3140152,0.004999638,0.661273,-0.5759956
0,0.3331243,0.005000114,0.7520576,-0.6559585
0,0.3557465,0.004999638,0.8486197,-0.7466004
0,0.3939256,0.004999638,0.9520516,-0.8354021
0,0.4056721,0.004999638,1.000082,-0.8630171
0,0.4221851,0.004999638,1.071926,-0.9012164
0,0.4447282,0.004999638,1.139585,-0.9415425
0,0.4674877,0.004999638,1.189309,-0.9721214
0,0.4899797,0.004999638,1.243842,-1.000806
0,0.5123584,0.004999638,1.303066,-1.024221
0,0.5517931,0.004999638,1.359902,-1.032172
0,0.5649132,0.004999638,1.377198,-1.030075
0,0.5787949,0.004999638,1.403031,-1.032464
0,0.6018005,0.004999638,1.438928,-1.03351
0,0.6231659,0.004999638,1.476687,-1.003069
0,0.6455516,0.004999638,1.527255,-0.9697625
0,0.6686565,0.004999638,1.579077,-0.9616373
0,0.7073002,0.004999638,1.629801,-0.9576504
0,0.7202857,0.004999638,1.640693,-0.9551019
0,0.7358196,0.004999638,1.638575,-0.9535294
0,0.7579983,0.004999638,1.625657,-0.9453773
0,0.7802486,0.004999638,1.615904,-0.9425287
0,0.8029863,0.004999638,1.611452,-0.9431381
0,0.8252724,0.004999638,1.607119,-0.9434482
0,0.857182,0.004999638,1.58489,-0.9374784
0,0.869838,0.004999638,1.571979,-0.9345299
0,0.883317,0.004999638,1.550555,-0.919439
0,0.8966652,0.004999638,1.510457,-0.8915091
0,0.9165506,0.004999638,1.486567,-0.8703204
