scene,time,headsetRotationX,headsetRotationY,headsetRotationZ,headsetRotationW
0,0,-0.0184561,-0.9942203,-0.1018289,-0.02857512
0,0.0108069,-0.01863485,-0.994227,-0.1017362,-0.02855447
0,0.0216138,-0.01878696,-0.9942157,-0.1017856,-0.02867067
0,0.0363064,-0.0189615,-0.9942113,-0.1017643,-0.0287852
0,0.0471372,-0.01923748,-0.9942223,-0.1015819,-0.02886522
0,0.0578363,-0.0193612,-0.9942153,-0.1016127,-0.02891958
0,0.0677568,-0.01929218,-0.9942187,-0.1016033,-0.02887863
0,0.0786438,-0.01923956,-0.9942455,-0.1013719,-0.02880117
0,0.0889789,-0.01912988,-0.9942559,-0.1012816,-0.02883619
0,0.0995291,-0.01895283,-0.9942625,-0.1012691,-0.02877185
0,0.1094422,-0.01890669,-0.9942604,-0.1012841,-0.02881771
0,0.1196133,-0.01888896,-0.9942524,-0.1013532,-0.02886268
0,0.1314539,-0.01894293,-0.9942385,-0.1014486,-0.02897197
0,0.1421948,-0.01909375,-0.994233,-0.1014196,-0.02916294
0,0.1533367,-0.01912782,-0.9942437,-0.101299,-0.02919373
0,0.1640033,-0.0191793,-0.9942539,-0.101161,-0.02928984
0,0.1756641,-0.01928475,-0.9942694,-0.1009926,-0.02928054
0,0.1867427,-0.01933308,-0.9942785,-0.1009103,-0.02922034
0,0.1978408,-0.01942587,-0.9942816,-0.1008549,-0.02924094
0,0.2098756,-0.01944005,-0.9942799,-0.1008654,-0.0292547
0,0.220365,-0.01946639,-0.9942701,-0.1009421,-0.02930552
0,0.2363452,-0.01946706,-0.9942704,-0.1009137,-0.02939299
0,0.2478064,-0.01945275,-0.9942739,-0.1008342,-0.02955735
0,0.2586974,-0.01951015,-0.9942622,-0.1009319,-0.02957901
0,0.2700049,-0.01937858,-0.9942549,-0.1010158,-0.02962574
0,0.2811916,-0.01945101,-0.994277,-0.1007723,-0.02966726
0,0.2921909,-0.01948224,-0.9942663,-0.1008561,-0.02972022
0,0.3032597,-0.0194244,-0.9942633,-0.1009333,-0.02959427
0,0.3139079,-0.01943977,-0.9942741,-0.1008438,-0.02952641
0,0.3246555,-0.01957217,-0.9942839,-0.1007477,-0.02943537
0,0.3357564,-0.01957215,-0.9942903,-0.1006748,-0.02947071
0,0.3460621,-0.01960183,-0.9943056,-0.1004989,-0.02953264
0,0.3567837,-0.01964095,-0.9943032,-0.100491,-0.02961451
0,0.3671482,-0.01963586,-0.9942825,-0.1006346,-0.02982858
0,0.3772132,-0.01966719,-0.9942751,-0.1006769,-0.02991068
0,0.3882535,-0.01959881,-0.9942731,-0.1006969,-0.02995288
0,0.399179,-0.0193794,-0.9942775,-0.1006944,-0.02995831
0,0.4098378,-0.01937619,-0.9942895,-0.1005423,-0.03007242
0,0.4201194,-0.01927357,-0.9942961,-0.1004472,-0.03023809
0,0.4309776,-0.01924051,-0.9942942,-0.100414,-0.03042996
0,0.4417154,-0.01935048,-0.9942839,-0.1004436,-0.03060129
0,0.4527813,-0.01944019,-0.9942832,-0.1004021,-0.03070453
0,0.4641379,-0.01949527,-0.9942744,-0.1004372,-0.03083673
0,0.4753737,-0.01955186,-0.9942895,-0.1002665,-0.03087023
