scene,time,locationX,locationY,locationZ
0,0,-1.108671,2.340984,-5.860054
0,0.0108069,-1.095866,2.331964,-5.859557
0,0.0216138,-1.080297,2.315527,-5.858953
0,0.0363064,-1.071212,2.300452,-5.858599
0,0.0471372,-1.068701,2.289291,-5.858502
0,0.0578363,-1.053883,2.282772,-5.857926
0,0.0677568,-1.036041,2.280565,-5.857233
0,0.0786438,-1.01146,2.287498,-5.856278
0,0.0889789,-0.9827116,2.288742,-5.855162
0,0.0995291,-0.9558243,2.285113,-5.854117
0,0.1094422,-0.9240492,2.266697,-5.852882
0,0.1196133,-0.8877712,2.240777,-5.851473
0,0.1314539,-0.846804,2.217805,-5.849882
0,0.1421948,-0.7905892,2.187971,-5.847698
0,0.1533367,-0.7212074,2.159504,-5.845003
0,0.1640033,-0.653369,2.137239,-5.842368
0,0.1756641,-0.5776482,2.120736,-5.839426
0,0.1867427,-0.5112633,2.108135,-5.836847
0,0.1978408,-0.4514374,2.090387,-5.834523
0,0.2098756,-0.4090951,2.055055,-5.832878
0,0.220365,-0.375938,2.005199,-5.83159
0,0.2363452,-0.3269303,1.928608,-5.829687
0,0.2478064,-0.2949641,1.882258,-5.828444
0,0.2586974,-0.2518454,1.836139,-5.82677
0,0.2700049,-0.223029,1.792989,-5.82565
0,0.2811916,-0.1940325,1.744822,-5.824524
0,0.2921909,-0.163753,1.68851,-5.823348
0,0.3032597,-0.143418,1.63165,-5.822557
0,0.3139079,-0.1236604,1.581981,-5.82179
0,0.3246555,-0.1015282,1.528389,-5.82093
0,0.3357564,-0.09747583,1.478391,-5.820773
0,0.3460621,-0.09032357,1.433612,-5.820495
0,0.3567837,-0.09118193,1.400537,-5.820529
0,0.3671482,-0.0824365,1.372904,-5.820189
0,0.3772132,-0.06727558,1.350647,-5.8196
0,0.3882535,-0.04361951,1.335088,-5.818681
0,0.399179,-0.01700211,1.316785,-5.817647
0,0.4098378,0.007243276,1.299543,-5.816705
0,0.4201194,0.02091813,1.281531,-5.816174
0,0.4309776,0.03089535,1.259988,-5.815786
0,0.4417154,0.03399587,1.241364,-5.815666
0,0.4527813,0.03647923,1.230855,-5.815569
0,0.4641379,0.0477469,1.222587,-5.815132
0,0.4753737,0.06559622,1.231602,-5.814438
0,0.4863953,0.08600116,1.231758,-5.813645
0,0.4985161,0.107453,1.225954,-5.812812
0,0.5091277,0.1270946,1.215853,-5.812049
0,0.5199503,0.1419743,1.20028,-5.811471
0,0.5311005,0.1540334,1.184774,-5.811003
0,0.5419955,0.1553794,1.166295,-5.81095
0,0.553399,0.1515889,1.147563,-5.811098
0,0.5650063,0.1501037,1.130794,-5.811155
0,0.5758373,0.1521506,1.122425,-5.811076
0,0.5871761,0.1588483,1.123033,-5.810816
0,0.5982424,0.1703252,1.124954,-5.81037
0,0.6092082,0.1812625,1.12899,-5.809945
0,0.6204056,0.1881574,1.126225,-5.809677
