scene,time,headsetLocationX,headsetLocationY,headsetLocationZ
0,0,-1.009251,1.192871,-0.1565387
0,0.0108069,-1.009279,1.192946,-0.1567003
0,0.0216138,-1.009263,1.19295,-0.1566939
0,0.0363064,-1.009202,1.192883,-0.1565684
0,0.0471372,-1.009207,1.192993,-0.1566584
0,0.0578363,-1.009193,1.192978,-0.1566394
0,0.0677568,-1.009175,1.192861,-0.1564947
0,0.0786438,-1.009208,1.19291,-0.1566147
0,0.0889789,-1.009219,1.192886,-0.1565997
0,0.0995291,-1.009207,1.192862,-0.1565811
0,0.1094422,-1.009208,1.192863,-0.1565476
0,0.1196133,-1.009196,1.192867,-0.1565404
0,0.1314539,-1.009161,1.19276,-0.1564003
0,0.1421948,-1.009199,1.192834,-0.1564706
0,0.1533367,-1.009195,1.192821,-0.1564318
0,0.1640033,-1.009161,1.192714,-0.1562878
0,0.1756641,-1.0092,1.192789,-0.1563694
0,0.1867427,-1.009207,1.192779,-0.1563311
0,0.1978408,-1.009154,1.192686,-0.1562082
0,0.2098756,-1.009188,1.192761,-0.1562883
0,0.220365,-1.009196,1.192748,-0.1562673
0,0.2363452,-1.009174,1.192657,-0.1561518
0,0.2478064,-1.009215,1.192739,-0.1562724
0,0.2586974,-1.009198,1.19272,-0.1562576
0,0.2700049,-1.009172,1.192594,-0.1561372
0,0.2811916,-1.00922,1.192661,-0.1562841
0,0.2921909,-1.009251,1.192613,-0.1562605
0,0.3032597,-1.009192,1.192477,-0.1561416
0,0.3139079,-1.009211,1.192564,-0.1561978
0,0.3246555,-1.009188,1.192544,-0.1562076
0,0.3357564,-1.009157,1.192528,-0.1562114
0,0.3460621,-1.009083,1.192553,-0.156199
0,0.3567837,-1.009006,1.192539,-0.1562093
0,0.3671482,-1.008903,1.192441,-0.1561396
0,0.3772132,-1.008852,1.192531,-0.1562439
0,0.3882535,-1.00877,1.192513,-0.1562827
0,0.399179,-1.008698,1.192388,-0.1561818
0,0.4098378,-1.008633,1.192478,-0.1563048
0,0.4201194,-1.008538,1.192467,-0.156354
0,0.4309776,-1.008461,1.192361,-0.156268
0,0.4417154,-1.008412,1.19243,-0.1564493
0,0.4527813,-1.008316,1.192431,-0.1564978
0,0.4641379,-1.008207,1.192313,-0.1564274
0,0.4753737,-1.008137,1.192386,-0.1565617
0,0.4863953,-1.008039,1.192345,-0.1565951
0,0.4985161,-1.007931,1.19222,-0.1565161
0,0.5091277,-1.007867,1.192243,-0.1566129
0,0.5199503,-1.007795,1.192177,-0.156629
0,0.5311005,-1.007702,1.192025,-0.1565645
0,0.5419955,-1.007682,1.192,-0.1567174
0,0.553399,-1.007605,1.191906,-0.1567526
0,0.5650063,-1.007567,1.19174,-0.1566718
0,0.5758373,-1.007546,1.191752,-0.1568437
0,0.5871761,-1.007502,1.191699,-0.1568918
0,0.5982424,-1.007452,1.191572,-0.1568527
0,0.6092082,-1.00744,1.19162,-0.1569146
0,0.6204056,-1.00739,1.191556,-0.1569355
0,0.6315631,-1.00732,1.19145,-0.1569055
0,0.6438494,-1.007302,1.191506,-0.1570001
0,0.6543398,-1.007275,1.191477,-0.1570294
0,0.665441,-1.007196,1.191355,-0.1569686
0,0.6766974,-1.007202,1.191401,-0.157128
0,0.6880417,-1.007153,1.191367,-0.157146
0,0.699318,-1.00704,1.191257,-0.1570996
0,0.7111839,-1.007038,1.191309,-0.1572258
0,0.7226152,-1.006993,1.191298,-0.1572397
0,0.7335238,-1.006881,1.191226,-0.1571701
0,0.7447242,-1.00689,1.191275,-0.1573541
0,0.7565814,-1.006859,1.191294,-0.1573623
0,0.7678168,-1.006805,1.19119,-0.1572538
0,0.7787746,-1.006797,1.191264,-0.1574302
