scene,time,headsetLocationX,headsetLocationY,headsetLocationZ,headsetRotationX,headsetRotationY,headsetRotationZ,headsetRotationW,headsetRotationEulerX,headsetRotationEulerY,headsetRotationEulerZ
0,0,-0.9320021,1.211664,-0.09996957,-0.02170018,-0.9883357,-0.1070877,-0.1060854,348.0491,167.3443,3.845638
0,0.0130241,-0.9319583,1.211785,-0.1001341,-0.02145564,-0.988315,-0.1072779,-0.1061362,348.0244,167.34,3.820572
0,0.0260482,-0.9319409,1.211915,-0.1001493,-0.02125214,-0.9882643,-0.1076382,-0.1062837,347.9812,167.3228,3.803798
0,0.0424687,-0.9318848,1.211996,-0.1000432,-0.02121114,-0.9881927,-0.1081419,-0.1064464,347.9237,167.3009,3.80803
0,0.0532766,-0.9318674,1.212258,-0.1000599,-0.02115465,-0.9881129,-0.1086293,-0.1067019,347.8682,167.2684,3.811421
0,0.0676363,-0.9318128,1.212337,-0.1000632,-0.02101433,-0.9879841,-0.1095613,-0.1069696,347.7608,167.2324,3.811488
0,0.0778947,-0.9317756,1.212269,-0.0999096,-0.02079647,-0.9878783,-0.1101606,-0.1073731,347.6909,167.1838,3.799702
0,0.0893072,-0.9317038,1.212248,-0.09980047,-0.02089171,-0.987819,-0.110112,-0.1079477,347.7,167.1156,3.81731
0,0.103561,-0.9316233,1.21209,-0.09965497,-0.02094347,-0.9877859,-0.1100943,-0.1082575,347.7039,167.0788,3.826966
0,0.1154117,-0.9316639,1.211962,-0.09966648,-0.02117977,-0.987807,-0.1096879,-0.1084316,347.7541,167.0582,3.850792
0,0.1272779,-0.931667,1.2118,-0.09950978,-0.02128087,-0.9879152,-0.108794,-0.1083269,347.8573,167.0753,3.848571
0,0.1412497,-0.9316236,1.211483,-0.09930634,-0.02136225,-0.988077,-0.1075976,-0.1080296,347.994,167.1172,3.837473
0,0.1541807,-0.9316856,1.211352,-0.09938043,-0.02158671,-0.9882637,-0.1062077,-0.1076524,348.1544,167.168,3.839379
0,0.1656816,-0.9317064,1.211264,-0.09938604,-0.02187616,-0.9883872,-0.1055466,-0.1071086,348.2316,167.2327,3.85709
0,0.1771267,-0.9317602,1.211493,-0.09951186,-0.0219191,-0.9883875,-0.1063449,-0.1063043,348.1377,167.321,3.863393
0,0.1923946,-0.9317264,1.211652,-0.09955108,-0.02162927,-0.9883423,-0.107039,-0.1060877,348.0538,167.3452,3.836785
0,0.2039114,-0.9316134,1.21178,-0.09946728,-0.02125004,-0.9882951,-0.107672,-0.1059625,347.9761,167.3602,3.800066
0,0.2160881,-0.9315904,1.211926,-0.09954721,-0.02118142,-0.9882413,-0.1081719,-0.1059693,347.9181,167.3569,3.799095
0,0.2284673,-0.9315625,1.211889,-0.09955251,-0.02114796,-0.9882126,-0.1083723,-0.1060387,347.895,167.3478,3.798848
0,0.2381347,-0.9315792,1.211728,-0.09940666,-0.02117533,-0.9882528,-0.1079248,-0.106116,347.9468,167.3414,3.796795
0,0.2504843,-0.931586,1.211719,-0.0995158,-0.02124099,-0.9883125,-0.1073941,-0.1060844,348.0082,167.3479,3.796684
0,0.2626542,-0.9315562,1.211672,-0.09950471,-0.02124381,-0.988354,-0.1071133,-0.1059812,348.04,167.3618,3.791872
0,0.2738829,-0.9315781,1.211609,-0.0994066,-0.02117896,-0.9883348,-0.1072665,-0.1060184,348.0218,167.3572,3.786931
0,0.2833374,-0.9315499,1.211781,-0.09953421,-0.02103176,-0.9882984,-0.1076196,-0.1060287,347.9796,167.3554,3.774878
0,0.294556,-0.931483,1.211883,-0.09956813,-0.02065209,-0.9882144,-0.1083122,-0.1061813,347.8961,167.3376,3.742349
0,0.3085104,-0.931401,1.211926,-0.0995959,-0.02029834,-0.988122,-0.1089192,-0.1064876,347.8233,167.302,3.713575
0,0.318703,-0.9313334,1.21189,-0.0995912,-0.02016412,-0.9880619,-0.1090929,-0.1068927,347.8032,167.255,3.705498
0,0.3286261,-0.931299,1.211789,-0.09959167,-0.02031026,-0.988031,-0.1089547,-0.1072912,347.8224,167.2074,3.725484
0,0.3462015,-0.9312383,1.211608,-0.09953052,-0.02062026,-0.9880691,-0.1083856,-0.107457,347.8921,167.188,3.755512
0,0.3564515,-0.9312685,1.211558,-0.09960723,-0.02085011,-0.9881334,-0.1077828,-0.1074284,347.9639,167.1926,3.773361
0,0.367887,-0.9312844,1.211485,-0.09962016,-0.02104471,-0.9882039,-0.1072756,-0.1072487,348.0237,167.2147,3.78661
0,0.3806404,-0.9313204,1.21143,-0.09968215,-0.02075014,-0.9883232,-0.1067732,-0.1067076,348.0754,167.2849,3.738905
0,0.3927472,-0.9313108,1.211459,-0.09970051,-0.02076531,-0.9883628,-0.1066413,-0.1064686,348.0898,167.3135,3.735921
0,0.4052654,-0.9312562,1.211463,-0.09967953,-0.02095626,-0.9883854,-0.1066154,-0.1062475,348.0943,167.3373,3.754972
0,0.417859,-0.9312776,1.211526,-0.09987724,-0.02124234,-0.988349,-0.1067989,-0.1063448,348.0773,167.3213,3.791815
0,0.4283547,-0.9312153,1.211531,-0.09991854,-0.02138792,-0.9883206,-0.1069682,-0.1064095,348.0601,167.3109,3.811798
0,0.4384633,-0.9311885,1.21144,-0.09987324,-0.02155483,-0.9882801,-0.1069511,-0.1067685,348.0656,167.2669,3.835275
0,0.4514332,-0.9311777,1.211536,-0.09985209,-0.02195506,-0.9882706,-0.1067524,-0.1069735,348.0942,167.2395,3.881353
0,0.4649909,-0.9311683,1.211526,-0.09987235,-0.0221296,-0.9882402,-0.1067855,-0.1071844,348.0935,167.2125,3.90459
0,0.4737747,-0.9311671,1.211558,-0.09990156,-0.02208257,-0.9881923,-0.1070025,-0.1074193,348.069,167.1841,3.905044
0,0.4833144,-0.9311754,1.211562,-0.09984773,-0.02181555,-0.9882011,-0.1069781,-0.1074171,348.0683,167.1877,3.873766
0,0.4959468,-0.9312025,1.211562,-0.09982443,-0.02142451,-0.9881983,-0.107052,-0.1074483,348.055,167.1882,3.82991
0,0.5094247,-0.9312528,1.211559,-0.09979373,-0.02116778,-0.9882004,-0.1071389,-0.1073935,348.0415,167.1971,3.800729
0,0.518548,-0.9313179,1.211541,-0.09975684,-0.0212051,-0.9881923,-0.107245,-0.1073549,348.0297,167.2005,3.806056
0,0.5300904,-0.931403,1.211567,-0.0997147,-0.02122775,-0.9882127,-0.1071418,-0.1072657,348.0415,167.2113,3.806147
0,0.5410626,-0.9315092,1.211568,-0.09971559,-0.0211734,-0.9882274,-0.107281,-0.107002,348.0238,167.242,3.798558
0,0.551388,-0.9316522,1.211558,-0.09967363,-0.02111613,-0.9882625,-0.1073017,-0.1066668,348.0194,167.2818,3.7881
0,0.5635092,-0.9317824,1.211528,-0.09962505,-0.02090737,-0.9883475,-0.1072976,-0.1059225,348.0144,167.3715,3.754732
0,0.5743262,-0.9319674,1.211491,-0.09958565,-0.02062534,-0.98843,-0.1071786,-0.1053268,348.0222,167.4454,3.713125
0,0.5861378,-0.9321281,1.21148,-0.0994972,-0.02059262,-0.9885252,-0.1070539,-0.1045637,348.0332,167.5359,3.698277
0,0.5967494,-0.9323151,1.211528,-0.09941387,-0.02078471,-0.9886026,-0.1070794,-0.1037637,348.0297,167.6271,3.711061
0,0.6061718,-0.9324965,1.211617,-0.09940231,-0.02085145,-0.9886663,-0.1072022,-0.1030148,348.0137,167.7132,3.711254
0,0.6211091,-0.9326431,1.21176,-0.09933317,-0.0206515,-0.9886729,-0.1076592,-0.102513,347.957,167.7714,3.688026
0,0.630995,-0.932786,1.211896,-0.09926349,-0.0203455,-0.9886702,-0.108141,-0.1020938,347.8965,167.8211,3.653801
0,0.6417761,-0.9329666,1.212003,-0.09918112,-0.02010244,-0.9886634,-0.108644,-0.1016715,347.8344,167.8703,3.627054
0,0.6534119,-0.9330972,1.212074,-0.09910804,-0.01976835,-0.9886849,-0.1089682,-0.1011805,347.7915,167.9299,3.586476
0,0.6655299,-0.9332495,1.212136,-0.09902376,-0.01941101,-0.9887081,-0.1091481,-0.1008275,347.7653,167.9745,3.54299
0,0.6772726,-0.9333795,1.212154,-0.0989098,-0.01908328,-0.9887246,-0.1094027,-0.1004518,347.7308,168.0209,3.503608
0,0.6876181,-0.9335216,1.212154,-0.09884673,-0.01899271,-0.9887296,-0.1096456,-0.1001554,347.7009,168.0553,3.492544
0,0.702045,-0.933667,1.212128,-0.098786,-0.01886941,-0.9887246,-0.1098859,-0.09996513,347.6712,168.0776,3.478973
0,0.7131169,-0.9337842,1.212135,-0.09876251,-0.01876262,-0.9887459,-0.1099384,-0.0997158,347.6631,168.1078,3.464116
0,0.7222586,-0.9339216,1.212181,-0.09874254,-0.01850462,-0.9887371,-0.1100762,-0.09969968,347.6441,168.112,3.435775
0,0.7346401,-0.9340317,1.212271,-0.09874046,-0.01823834,-0.988705,-0.1104866,-0.09961221,347.5936,168.1231,3.4091
