scene,time,headsetRotationX,headsetRotationY,headsetRotationZ,headsetRotationW
0,0,0.003895424,-0.9923385,-0.08532649,-0.08926699
0,0.0108146,0.003943071,-0.9923328,-0.08528109,-0.08937129
0,0.0216292,0.003872834,-0.9923341,-0.08511627,-0.08951733
0,0.0369987,0.003780782,-0.9923044,-0.08537936,-0.08960059
0,0.0474625,0.003718559,-0.992281,-0.08549726,-0.08975032
0,0.0581562,0.003569692,-0.9922745,-0.08557076,-0.08975717
0,0.0673441,0.003512532,-0.992274,-0.0855709,-0.08976489
0,0.0780343,0.003696922,-0.9922767,-0.08558378,-0.0897153
0,0.0883676,0.003825773,-0.9922873,-0.0857645,-0.08942041
0,0.1052962,0.003849763,-0.9923127,-0.08577012,-0.0891318
0,0.1150379,0.003905591,-0.9923359,-0.08578944,-0.08885068
0,0.12394,0.003886078,-0.9923601,-0.08560504,-0.08876002
0,0.1343176,0.003919434,-0.9923655,-0.08548777,-0.08881044
0,0.1449529,0.003920443,-0.9923779,-0.08535717,-0.08879846
0,0.1554929,0.003969718,-0.9923949,-0.08531787,-0.0886434
0,0.1674069,0.00394886,-0.9923918,-0.08539219,-0.08860701
0,0.1792497,0.004019197,-0.9924183,-0.08533889,-0.08835903
0,0.1914899,0.004136067,-0.9924358,-0.08524947,-0.08824268
0,0.2029502,0.00435191,-0.992451,-0.08516449,-0.0881432
0,0.2153583,0.004468203,-0.9924692,-0.08500437,-0.08808711
0,0.2258252,0.004629593,-0.9924722,-0.08500534,-0.08804512
0,0.2361652,0.00462947,-0.9924796,-0.08503264,-0.08793405
0,0.2464876,0.004607741,-0.9924895,-0.08509567,-0.08776394
0,0.2576669,0.004666675,-0.9924864,-0.08519839,-0.08769572
0,0.269495,0.004789062,-0.9925008,-0.08519638,-0.08752826
0,0.2798395,0.00496769,-0.9925163,-0.08500268,-0.08752978
0,0.2916296,0.005092751,-0.9925106,-0.08490105,-0.08768693
0,0.3033919,0.005120598,-0.9925021,-0.08483182,-0.08784786
0,0.3140077,0.005039424,-0.9925033,-0.08474994,-0.08791661
0,0.3245668,0.004975684,-0.9924951,-0.08475402,-0.08800974
0,0.3357772,0.004897218,-0.9924784,-0.08479553,-0.08816299
0,0.347216,0.004710916,-0.9924795,-0.08470592,-0.08824506
0,0.3582068,0.004511967,-0.9924594,-0.08471593,-0.08847302
0,0.3693035,0.004292734,-0.9924386,-0.08472528,-0.08870733
0,0.3807491,0.003821135,-0.9924278,-0.08453579,-0.08902973
0,0.3915966,0.003491234,-0.9924076,-0.08445528,-0.08934513
0,0.4030823,0.003150415,-0.9923862,-0.08442654,-0.08962074
0,0.4140787,0.00311657,-0.9923748,-0.08424008,-0.08992407
0,0.4254513,0.003089156,-0.9923769,-0.08392274,-0.09019813
0,0.4361126,0.003169544,-0.992383,-0.08353801,-0.09048441
0,0.4481171,0.003166713,-0.992372,-0.08333701,-0.09078926
0,0.4585008,0.003053617,-0.9923605,-0.08325036,-0.09099916
0,0.4698588,0.002765052,-0.9923363,-0.08337554,-0.0911572
0,0.481254,0.00258524,-0.9923134,-0.08354454,-0.09125745
0,0.492864,0.002573911,-0.9923173,-0.08365747,-0.0911108
0,0.5039891,0.002651963,-0.9923245,-0.08361241,-0.0910725
0,0.515357,0.002706576,-0.992335,-0.08350401,-0.09105638
0,0.526908,0.002812628,-0.9923337,-0.08341394,-0.09115112
0,0.5382243,0.002957553,-0.9923313,-0.08340171,-0.09118295
0,0.5497947,0.002975799,-0.9923371,-0.08334398,-0.09117088
0,0.5617973,0.002993785,-0.9923291,-0.08343347,-0.0911752
0,0.5739186,0.003204089,-0.9923275,-0.08346647,-0.09115633
0,0.5845312,0.003241017,-0.9923197,-0.08348332,-0.09122366
0,0.5947446,0.003311343,-0.9923232,-0.08332474,-0.09132802
0,0.6065623,0.003164481,-0.9923136,-0.08334689,-0.09141725
0,0.6171148,0.003026146,-0.9923054,-0.08331733,-0.09153852
0,0.6289573,0.002946109,-0.9923126,-0.08326516,-0.09151086
0,0.6400956,0.002939086,-0.9923322,-0.08316307,-0.09139058
0,0.652173,0.003052637,-0.9923651,-0.08292399,-0.09124762
0,0.6635242,0.003169313,-0.992394,-0.0827054,-0.09112677
0,0.6749656,0.003149588,-0.992389,-0.08274289,-0.09114888
0,0.6872931,0.002992339,-0.9923728,-0.08275506,-0.09131935
0,0.6986297,0.002860855,-0.9923491,-0.08290707,-0.09144104
0,0.7104182,0.002816014,-0.9923035,-0.08324103,-0.09163523
0,0.7221252,0.00270123,-0.992268,-0.08338028,-0.09189573
0,0.7338512,0.002735097,-0.9922692,-0.08331171,-0.09194335
0,0.7466438,0.002931628,-0.9922689,-0.08321188,-0.09203127
0,0.7592283,0.002898362,-0.9922768,-0.0830413,-0.09210196
1,0,0.008320183,-0.9928114,-0.08575092,-0.08308524
1,0.0112326,0.007954519,-0.9928092,-0.08584028,-0.08305517
1,0.0224652,0.007881124,-0.9928418,-0.0857981,-0.08271611
1,0.0344852,0.007953845,-0.9928958,-0.08552749,-0.08234057
1,0.0464146,0.008084532,-0.992951,-0.08528341,-0.08191273
1,0.0591255,0.008271556,-0.9929999,-0.08502091,-0.08157438
1,0.0707489,0.008320618,-0.9930487,-0.08470762,-0.08130163
1,0.0818012,0.008345708,-0.9930624,-0.08461991,-0.08122346
1,0.092986,0.008336797,-0.9930746,-0.08455194,-0.08114511
1,0.1053325,0.008288097,-0.9930682,-0.08463041,-0.08114681
1,0.1163526,0.008188888,-0.9930673,-0.08475155,-0.08104059
1,0.1285947,0.008133825,-0.9930701,-0.08487053,-0.08088744
1,0.1416909,0.008193698,-0.9930845,-0.08505286,-0.08051133
1,0.1539572,0.008266043,-0.993095,-0.08499609,-0.08043486
1,0.1669538,0.008418977,-0.9931092,-0.08482308,-0.08042529
1,0.1782575,0.00842743,-0.9931126,-0.084851,-0.0803552
1,0.1893671,0.008622658,-0.9931226,-0.08482821,-0.08023325
1,0.2008292,0.008727774,-0.9931293,-0.08478919,-0.08018079
1,0.2124543,0.008708373,-0.9931357,-0.08477278,-0.08012128
1,0.2241418,0.008738976,-0.9931225,-0.08492612,-0.08012056
1,0.2356685,0.008870985,-0.993127,-0.08489119,-0.08008617
1,0.2478505,0.00901949,-0.9931303,-0.08493708,-0.0799796
1,0.2601325,0.009062786,-0.9931335,-0.08496596,-0.07990342
1,0.2712547,0.00926156,-0.9931275,-0.08495663,-0.07996541
1,0.2831738,0.009470876,-0.9931234,-0.08491573,-0.08003566
1,0.2949117,0.009570211,-0.993121,-0.08484243,-0.0801318
1,0.305725,0.00979799,-0.9931029,-0.08485988,-0.08031008
1,0.3184768,0.009914428,-0.9930921,-0.08473793,-0.08055741
1,0.3305008,0.009993937,-0.9930782,-0.0846902,-0.08076769
1,0.3412385,0.0100282,-0.9930649,-0.08457351,-0.08104888
1,0.3523423,0.01012377,-0.9930595,-0.0845174,-0.08116198
1,0.362182,0.01028955,-0.9930677,-0.08443072,-0.0811308
1,0.3719619,0.01059765,-0.9930943,-0.08422245,-0.08098233
1,0.3822935,0.0108382,-0.9931194,-0.08408309,-0.08078727
1,0.3923201,0.01108093,-0.9931517,-0.08369449,-0.08076152
1,0.4028054,0.01131082,-0.9931664,-0.08344959,-0.08080149
1,0.4133547,0.01150455,-0.9931767,-0.08333179,-0.0807696
1,0.4240349,0.01173971,-0.9931682,-0.08331487,-0.08085775
1,0.4346525,0.01192225,-0.9931754,-0.083198,-0.0808624
1,0.4465225,0.01205444,-0.9931551,-0.08319496,-0.08109519
1,0.456869,0.0122727,-0.9931256,-0.08317973,-0.08143887
1,0.4684093,0.01222939,-0.9931099,-0.08302043,-0.08179793
1,0.4794591,0.0122023,-0.9930608,-0.08312605,-0.08228946
1,0.4911483,0.01219431,-0.9929993,-0.08356719,-0.08258566
1,0.5019041,0.01211748,-0.9929974,-0.08367115,-0.08251411
1,0.5132684,0.01192879,-0.9930003,-0.08377331,-0.08240426
1,0.5239828,0.01175595,-0.9929919,-0.08385943,-0.0824407
1,0.5352561,0.01152461,-0.9930043,-0.08369468,-0.08249334
1,0.5465262,0.01146629,-0.9930072,-0.08357455,-0.08258629
1,0.558034,0.01144237,-0.9929988,-0.0835138,-0.08275291
