scene,time,locationX,locationY,locationZ
0,0,-0.4848073,2.506013,-6.004103
0,0.0108146,-0.4710194,2.504437,-6.001976
0,0.0216292,-0.4583921,2.499068,-6.000029
0,0.0369987,-0.4609751,2.490804,-6.000427
0,0.0474625,-0.4752176,2.48385,-6.002624
0,0.0581562,-0.4836528,2.478104,-6.003925
0,0.0673441,-0.4946704,2.480811,-6.005625
0,0.0780343,-0.5019596,2.485734,-6.006749
0,0.0883676,-0.5041174,2.495705,-6.007082
0,0.1052962,-0.4979947,2.501473,-6.006137
0,0.1150379,-0.4868847,2.499457,-6.004424
0,0.12394,-0.477087,2.494672,-6.002913
0,0.1343176,-0.4676966,2.482547,-6.001464
0,0.1449529,-0.4549256,2.455219,-5.999494
0,0.1554929,-0.445214,2.421207,-5.997995
0,0.1674069,-0.440427,2.37994,-5.997257
0,0.1792497,-0.4347265,2.338397,-5.996378
0,0.1914899,-0.425688,2.292079,-5.994984
0,0.2029502,-0.4110163,2.248611,-5.99272
0,0.2153583,-0.3730443,2.195418,-5.986863
0,0.2258252,-0.3401729,2.140065,-5.981792
0,0.2361652,-0.3024156,2.08059,-5.975967
0,0.2464876,-0.2591986,1.982851,-5.969301
0,0.2576669,-0.2350741,1.898111,-5.96558
0,0.269495,-0.2228274,1.807208,-5.96369
0,0.2798395,-0.2096373,1.713981,-5.961656
0,0.2916296,-0.1906109,1.615947,-5.95872
0,0.3033919,-0.1679853,1.538955,-5.95523
0,0.3140077,-0.1405299,1.476768,-5.950995
0,0.3245668,-0.1130265,1.422173,-5.946752
0,0.3357772,-0.09222436,1.372025,-5.943543
0,0.347216,-0.09107286,1.333801,-5.943366
0,0.3582068,-0.1010723,1.297305,-5.944908
0,0.3693035,-0.1057689,1.25365,-5.945632
0,0.3807491,-0.1135721,1.203601,-5.946836
0,0.3915966,-0.1073471,1.142645,-5.945876
0,0.4030823,-0.07844839,1.084981,-5.941418
0,0.4140787,-0.04525822,1.036036,-5.936298
0,0.4254513,-0.01542529,0.9916965,-5.931696
0,0.4361126,0.002913088,0.9516536,-5.928867
0,0.4481171,0.004193008,0.9184668,-5.92867
0,0.4585008,-0.0004946589,0.8926287,-5.929393
0,0.4698588,0.002368569,0.8688534,-5.928951
0,0.481254,0.002741545,0.8665073,-5.928894
0,0.492864,0.010162,0.8603871,-5.927749
0,0.5039891,0.02349055,0.851634,-5.925693
0,0.515357,0.03674123,0.8462813,-5.923649
0,0.526908,0.04659104,0.8350676,-5.92213
0,0.5382243,0.05771539,0.8234488,-5.920413
0,0.5497947,0.07406792,0.8088579,-5.917891
0,0.5617973,0.08544782,0.7941089,-5.916135
0,0.5739186,0.09369957,0.77885,-5.914863
0,0.5845312,0.09843764,0.7663867,-5.914132
0,0.5947446,0.1044135,0.7553866,-5.91321
0,0.6065623,0.1111281,0.7542937,-5.912174
0,0.6171148,0.1149222,0.760226,-5.911589
0,0.6289573,0.1205569,0.7672853,-5.910719
0,0.6400956,0.1253392,0.7769301,-5.909982
0,0.652173,0.1211116,0.7692815,-5.910634
