scene,time,controllerLocationX,controllerLocationY,controllerLocationZ,controllerRotationX,controllerRotationY,controllerRotationZ,controllerRotationW,controllerRotationEulerX,controllerRotationEulerY,controllerRotationEulerZ
0,0,-1.139399,0.8905903,-0.439413,0.1453622,-0.9813468,-0.03932193,-0.1195081,353.5739,167.0244,343.8802
0,0.0129377,-1.13922,0.8909042,-0.4394463,0.1447369,-0.9814045,-0.03987694,-0.1196099,353.5178,167.0169,343.9594
0,0.0258754,-1.13934,0.8910789,-0.4394361,0.1456486,-0.9813114,-0.04000109,-0.1192246,353.498,167.0688,343.8529
0,0.0445651,-1.139455,0.8912191,-0.4394631,0.1459605,-0.9812846,-0.04024553,-0.1189812,353.4703,167.1025,343.8181
0,0.0579554,-1.139512,0.8913327,-0.4394956,0.1458514,-0.9812861,-0.0404497,-0.1190332,353.4478,167.0988,343.8333
0,0.0710175,-1.139674,0.8915631,-0.43967,0.1460934,-0.9812131,-0.04099133,-0.1191534,353.3815,167.0947,343.8122
0,0.1012244,-1.139721,0.8915547,-0.4397186,0.146234,-0.9812141,-0.04094313,-0.1189882,353.3878,167.1138,343.7943
0,0.1134898,-1.139791,0.8914244,-0.4399645,0.1464302,-0.9812336,-0.04084218,-0.1186209,353.4027,167.1558,343.7681
0,0.1247817,-1.13979,0.8913214,-0.440014,0.146283,-0.9812698,-0.04077298,-0.1185266,353.4139,167.1646,343.7837
0,0.1367901,-1.139718,0.8911955,-0.440038,0.1458419,-0.981319,-0.04065114,-0.1187054,353.4305,167.1394,343.8346
0,0.1477534,-1.139717,0.8910986,-0.4398984,0.1453724,-0.981329,-0.04059352,-0.1192167,353.4348,167.0767,343.8915
0,0.161579,-1.139575,0.8909917,-0.439858,0.1453592,-0.981254,-0.0403485,-0.1199309,353.4511,166.991,343.8949
0,0.1733256,-1.139458,0.8909081,-0.4398416,0.1458926,-0.9811103,-0.04010505,-0.1205398,353.4617,166.9209,343.8343
0,0.185834,-1.13941,0.8908093,-0.4397862,0.146496,-0.9809667,-0.03988218,-0.1210484,353.4706,166.8631,343.7653
0,0.198038,-1.139317,0.8907529,-0.4397411,0.1469677,-0.9808662,-0.03961625,-0.1213782,353.489,166.8244,343.7097
0,0.210399,-1.139047,0.890702,-0.4396855,0.1469581,-0.9808481,-0.03928717,-0.1216439,353.5219,166.7888,343.7087
0,0.2225273,-1.138781,0.8904188,-0.439423,0.1456303,-0.9810495,-0.03832766,-0.1219208,353.6436,166.7343,343.8529
0,0.248865,-1.138555,0.8902153,-0.439285,0.1451316,-0.9810282,-0.03775967,-0.1228612,353.6992,166.6147,343.9097
0,0.2601897,-1.138233,0.8900423,-0.439074,0.1448897,-0.9809393,-0.0370158,-0.1240761,353.7668,166.4626,343.9363
0,0.2714557,-1.137803,0.8897578,-0.4388167,0.145064,-0.9807487,-0.03574695,-0.1257407,353.8807,166.2537,343.9109
0,0.281504,-1.137307,0.8894032,-0.4384716,0.1454158,-0.9805291,-0.03422629,-0.1274585,354.0196,166.036,343.8617
0,0.2936446,-1.136627,0.8887848,-0.4380625,0.1458935,-0.9802614,-0.0315611,-0.1296398,354.2779,165.7485,343.7854
0,0.3067878,-1.135236,0.8876873,-0.4373721,0.1446439,-0.9799761,-0.02757603,-0.1340325,354.674,165.1776,343.9009
0,0.3180096,-1.134016,0.8867222,-0.4367408,0.1426308,-0.979789,-0.02426308,-0.1381354,355.0118,164.6468,344.1077
0,0.3360002,-1.132347,0.885339,-0.4358776,0.1400384,-0.979441,-0.01949802,-0.1438905,355.498,163.9033,344.3632
0,0.3473701,-1.130714,0.8841519,-0.435161,0.1381001,-0.97902,-0.01520617,-0.1490542,355.9319,163.239,344.5413
0,0.3585859,-1.128525,0.8820748,-0.4340562,0.1361859,-0.9782252,-0.007641442,-0.1564308,356.7004,162.2736,344.6634
0,0.368858,-1.126593,0.8799911,-0.4330022,0.1364417,-0.9771874,0.0005636662,-0.1627526,357.5177,161.4258,344.5087
0,0.3806271,-1.122118,0.8746951,-0.4308611,0.1465627,-0.9733334,0.02216362,-0.1750727,359.5317,159.6767,342.9576
0,0.4064388,-1.120484,0.8724681,-0.4300559,0.153541,-0.9712888,0.03101964,-0.1790565,0.3021229,159.0618,341.9782
0,0.4179595,-1.118394,0.8700927,-0.4293568,0.1589825,-0.9692531,0.0396113,-0.183587,1.05502,158.3743,341.1684
0,0.4295818,-1.116626,0.8678565,-0.4285811,0.1630506,-0.9676914,0.04631273,-0.1866629,1.648161,157.8815,340.5495
0,0.4413476,-1.114946,0.86576,-0.4278041,0.1644723,-0.9666002,0.05184638,-0.1895917,2.169982,157.4277,340.2535
0,0.4527723,-1.113592,0.8636249,-0.4270151,0.164216,-0.9656936,0.05686215,-0.1929659,2.662155,156.9341,340.1551
0,0.4638026,-1.11227,0.8618718,-0.4264161,0.1617986,-0.965573,0.059786,-0.1947196,3.006244,156.6764,340.3543
0,0.4750465,-1.111004,0.8600914,-0.4258431,0.159631,-0.9653947,0.06311549,-0.1963352,3.392767,156.426,340.5137
0,0.4854916,-1.1103,0.8580451,-0.4254678,0.1562822,-0.9655782,0.06602341,-0.1971693,3.777005,156.2795,340.8189
0,0.4959045,-1.109478,0.8562782,-0.4251997,0.15312,-0.9659243,0.06832442,-0.1971709,4.106511,156.2428,341.1205
0,0.5068315,-1.108791,0.8546003,-0.4250166,0.1498216,-0.9663385,0.07029679,-0.1969812,4.406775,156.2369,341.4464
0,0.5178851,-1.108421,0.8528665,-0.4252254,0.1477599,-0.9666187,0.07238336,-0.1964084,4.697305,156.2688,341.6303
0,0.5295812,-1.108181,0.8514764,-0.4253513,0.1462417,-0.9670659,0.07359494,-0.1948864,4.895651,156.4268,341.7794
0,0.541584,-1.10798,0.849076,-0.4257324,0.1439548,-0.9680696,0.07552774,-0.1908244,5.237942,156.8682,342.0112
0,0.5682665,-1.108114,0.8481812,-0.4259582,0.1417539,-0.9687004,0.07542888,-0.1893037,5.305541,157.0572,342.2721
0,0.5798137,-1.107987,0.8476278,-0.4261165,0.1393143,-0.9691844,0.07569575,-0.1885289,5.40509,157.154,342.5473
0,0.5923691,-1.10818,0.8468193,-0.4263146,0.1365837,-0.9697477,0.07633388,-0.1873702,5.558714,157.2897,342.8487
0,0.6034252,-1.108465,0.8459332,-0.4265522,0.1337269,-0.9703565,0.07757518,-0.1857621,5.789179,157.4671,343.1525
0,0.6144665,-1.108512,0.8451879,-0.4267026,0.1314351,-0.9709188,0.07908324,-0.1838135,6.041439,157.6766,343.3882
0,0.6254582,-1.108964,0.844335,-0.4270407,0.1301729,-0.9713867,0.08061768,-0.1815591,6.278064,157.9156,343.5085
0,0.636858,-1.109437,0.8435457,-0.427404,0.1300204,-0.9716932,0.08195283,-0.1794178,6.465798,158.1389,343.5073
0,0.6481596,-1.109633,0.8429735,-0.4277234,0.1298965,-0.9719961,0.08286512,-0.1774369,6.60318,158.3515,343.5125
0,0.6594619,-1.110154,0.8422357,-0.4281179,0.130243,-0.9722416,0.08359334,-0.1754861,6.709427,158.5612,343.4685
0,0.6708542,-1.110655,0.8413684,-0.4284589,0.128799,-0.9727193,0.08463495,-0.1733934,6.891312,158.7928,343.6229
0,0.6823111,-1.110848,0.8404711,-0.4287494,0.1262018,-0.9733437,0.08595386,-0.171135,7.13053,159.0467,343.9045
0,0.6941677,-1.112115,0.8379949,-0.4295492,0.118162,-0.9750473,0.08950853,-0.1652534,7.787346,159.7199,344.7857
0,0.718627,-1.112475,0.8369721,-0.4300533,0.1154831,-0.975621,0.09051042,-0.1632032,7.984969,159.96,345.0857
0,0.730218,-1.112975,0.8361121,-0.4304729,0.11333,-0.9761202,0.09064202,-0.1616472,8.066135,160.155,345.3416
0,0.7421101,-1.113381,0.8354977,-0.4306206,0.1124084,-0.976463,0.09106582,-0.1599731,8.156658,160.349,345.4513
0,0.755199,-1.113892,0.8345776,-0.4309661,0.1112946,-0.9767666,0.09217634,-0.1582533,8.328249,160.5378,345.5686
0,0.767058,-1.114416,0.8335928,-0.4312968,0.1099897,-0.9770522,0.09383709,-0.156416,8.566614,160.7326,345.6974
0,0.7795581,-1.11482,0.8326137,-0.4315059,0.1090192,-0.9772695,0.09619023,-0.1542942,8.879998,160.9459,345.7762
0,0.7933127,-1.115342,0.831578,-0.4317912,0.1088587,-0.9773424,0.09876615,-0.1523061,9.200915,161.1329,345.757
0,0.8049676,-1.115439,0.830858,-0.4321189,0.1086194,-0.9774131,0.1002466,-0.1510501,9.389821,161.2548,345.7643
0,0.8192834,-1.115647,0.8303593,-0.4322233,0.1085125,-0.9774956,0.1009457,-0.1501248,9.483706,161.3509,345.7703
0,0.8319957,-1.115818,0.8301268,-0.4323853,0.1090498,-0.9775352,0.1009013,-0.1495069,9.477578,161.4185,345.7154
0,0.8437446,-1.116172,0.829895,-0.432677,0.1089881,-0.9776362,0.1010094,-0.148816,9.500865,161.4975,345.7267
0,0.8543838,-1.116524,0.8294448,-0.4329578,0.1082082,-0.9779183,0.1007839,-0.14768,9.506321,161.6407,345.832
0,0.8783901,-1.116584,0.8290291,-0.4330167,0.1071793,-0.9780599,0.101294,-0.1471434,9.590291,161.7037,345.9446
0,0.888389,-1.116672,0.8290064,-0.4329415,0.1064886,-0.978171,0.1017331,-0.1466022,9.660041,161.7655,346.0201
0,0.8995476,-1.116748,0.8287849,-0.4330032,0.1061721,-0.9782145,0.1021572,-0.1462456,9.718575,161.8025,346.051
0,0.911071,-1.117006,0.8286626,-0.433104,0.1063148,-0.9781872,0.102588,-0.1460233,9.767564,161.8195,346.0277
0,0.922565,-1.117057,0.8285547,-0.4331881,0.106952,-0.9781077,0.1027002,-0.1460116,9.768706,161.8127,345.9522
0,0.9333333,-1.117118,0.8284836,-0.4332517,0.10761,-0.9780402,0.10259,-0.146058,9.743616,161.803,345.8784
0,0.9450397,-1.117308,0.828509,-0.4333403,0.107856,-0.978044,0.1024763,-0.1459302,9.728155,161.8175,345.8537
0,0.9560648,-1.117427,0.8283352,-0.433402,0.1072752,-0.9781237,0.1026318,-0.1457153,9.759328,161.8453,345.9193
0,0.9672552,-1.11761,0.8280576,-0.4334965,0.106327,-0.9782747,0.1031098,-0.1450576,9.839702,161.9225,346.0249
0,0.9785555,-1.117968,0.8278714,-0.4337227,0.1056454,-0.9784067,0.1037217,-0.1442261,9.932646,162.0151,346.0988
0,0.9899658,-1.118355,0.8274006,-0.4339421,0.1051401,-0.9786013,0.1045268,-0.1426859,10.05399,162.1851,346.1557
0,1.0014,-1.118683,0.8269929,-0.4341719,0.1044536,-0.9787905,0.1050318,-0.1415168,10.13944,162.3191,346.2362
0,1.01356,-1.119403,0.8264694,-0.4345329,0.1042686,-0.9790449,0.1050705,-0.1398561,10.17016,162.5134,346.2737
0,1.039268,-1.119434,0.8261951,-0.434651,0.1042895,-0.97909,0.1049384,-0.1396229,10.15816,162.5426,346.2763
0,1.05329,-1.11945,0.8262098,-0.4346524,0.1046019,-0.9790336,0.104937,-0.1397853,10.15025,162.5206,346.2387
0,1.06591,-1.119452,0.8260493,-0.4346393,0.1048812,-0.9789516,0.1051889,-0.139962,10.17126,162.4929,346.1996
0,1.079592,-1.11936,0.8259121,-0.4345592,0.1046743,-0.9788499,0.105747,-0.1404059,10.23158,162.4337,346.2075
0,1.090636,-1.119126,0.8257166,-0.434361,0.1040014,-0.9787239,0.1063605,-0.1413174,10.29991,162.3238,346.263
0,1.102513,-1.118816,0.8255749,-0.4341314,0.1031991,-0.9785874,0.1069319,-0.1424157,10.36336,162.1942,346.3323
0,1.114813,-1.118575,0.8254985,-0.4338651,0.1024292,-0.9784852,0.107106,-0.1435387,10.38131,162.0683,346.4056
0,1.126875,-1.118196,0.825448,-0.4336423,0.1022435,-0.9783372,0.1072768,-0.144549,10.38999,161.9496,346.4129
0,1.138488,-1.117877,0.8254359,-0.4334399,0.1024477,-0.9781845,0.107257,-0.1454506,10.37163,161.8429,346.3804
1,0,-1.137981,0.8814301,-0.4373122,0.1622245,-0.978413,-0.0422026,-0.1208736,353.004,167.0261,341.968
1,0.0258104,-1.13827,0.8813007,-0.43745,0.1623354,-0.978513,-0.04186962,-0.1200276,353.0554,167.1183,341.9457
1,0.0516208,-1.13846,0.8811904,-0.4374985,0.1616678,-0.9787537,-0.04124978,-0.1191774,353.1494,167.2008,342.0107
1,0.0659534,-1.138609,0.880812,-0.4376994,0.1612354,-0.9789251,-0.04057672,-0.1185852,353.2416,167.2545,342.0497
1,0.0789064,-1.138651,0.8805357,-0.4377978,0.1611498,-0.9789837,-0.03990175,-0.1184467,353.3213,167.2586,342.0513
1,0.0908076,-1.138639,0.8803251,-0.4378611,0.1611167,-0.9790006,-0.03944429,-0.1185059,353.3722,167.244,342.0506
1,0.1034692,-1.138715,0.8802092,-0.4379562,0.1611669,-0.9789948,-0.03892156,-0.1186572,353.4278,167.2183,342.04
1,0.1148976,-1.138632,0.8799925,-0.4379733,0.1610515,-0.9789887,-0.0384629,-0.1190128,353.4746,167.1691,342.0506
1,0.1264506,-1.138538,0.8797809,-0.4379889,0.1610247,-0.9789761,-0.03810712,-0.1192681,353.5104,167.1338,342.0514
1,0.1379746,-1.138314,0.8796145,-0.4379316,0.1606589,-0.9790102,-0.03779999,-0.1195783,353.5443,167.0908,342.0924
1,0.1502778,-1.138143,0.8793939,-0.4378911,0.160021,-0.9790961,-0.03738893,-0.1198601,353.5939,167.0475,342.1635
1,0.1616392,-1.137958,0.8791885,-0.4378242,0.1595138,-0.9791546,-0.03700931,-0.1201746,353.6377,167.002,342.22
1,0.1732965,-1.13764,0.8790585,-0.4378269,0.1592874,-0.9791576,-0.03653672,-0.1205955,353.6865,166.9445,342.2435
1,0.1843943,-1.137052,0.878672,-0.4376185,0.1592299,-0.9790682,-0.03552388,-0.1216944,353.7818,166.8016,342.2453
1,0.2116209,-1.136755,0.8784447,-0.4375283,0.1592743,-0.9790021,-0.03496647,-0.122328,353.8327,166.72,342.2376
1,0.2235464,-1.136369,0.8781362,-0.4374169,0.1587635,-0.9789993,-0.0341332,-0.1232465,353.9171,166.5979,342.2925
1,0.2350205,-1.136045,0.877818,-0.4372175,0.1580358,-0.9790107,-0.03335702,-0.1242984,353.9958,166.4603,342.3738
1,0.2475712,-1.135471,0.8772862,-0.4370241,0.1567534,-0.979077,-0.03182443,-0.1257925,354.1598,166.2564,342.5123
1,0.2594011,-1.134821,0.8766688,-0.4368078,0.1552645,-0.9791439,-0.03001626,-0.1275519,354.3536,166.017,342.6721
1,0.2707051,-1.134001,0.875996,-0.4366623,0.1536337,-0.9792069,-0.0280374,-0.1294774,354.5663,165.7555,342.8459
1,0.282188,-1.132979,0.8750162,-0.4363291,0.1509683,-0.97933,-0.02516798,-0.1322428,354.881,165.3789,343.1303
1,0.2932694,-1.131603,0.8737612,-0.4359192,0.1474026,-0.9794775,-0.02160434,-0.1357558,355.2767,164.9029,343.5097
1,0.3057323,-1.130229,0.8722452,-0.4354339,0.1433883,-0.9796556,-0.0171177,-0.139363,355.7847,164.4027,343.9235
1,0.3171133,-1.128788,0.8704386,-0.434916,0.1394676,-0.9797975,-0.01168727,-0.1428607,356.4023,163.9047,344.3064
1,0.3287713,-1.127424,0.868618,-0.4343609,0.1364955,-0.9798542,-0.006401077,-0.1456499,357.0018,163.4966,344.5742
1,0.3406737,-1.124221,0.8631383,-0.4331906,0.1333071,-0.9794608,0.0101354,-0.150941,358.8318,162.6357,344.6775
1,0.3678816,-1.12267,0.8606912,-0.4327314,0.1314792,-0.9792206,0.0165245,-0.153517,359.5413,162.2413,344.777
1,0.3809453,-1.121116,0.8582574,-0.4320792,0.1284392,-0.9789902,0.02257109,-0.156756,0.2249742,161.7764,345.0154
1,0.3940333,-1.119484,0.8558347,-0.4315268,0.1243646,-0.9787983,0.02807288,-0.1603104,0.8641388,161.2861,345.3754
