scene,time,headsetLocationX,headsetLocationY,headsetLocationZ,headsetRotationX,headsetRotationY,headsetRotationZ,headsetRotationW,headsetRotationEulerX,headsetRotationEulerY,headsetRotationEulerZ
0,0,-1.009545,1.212632,-0.2156722,-0.05283292,-0.9895804,-0.07132178,-0.1133703,352.5779,166.4748,6.993485
0,0.0129377,-1.009517,1.212735,-0.2157581,-0.05296119,-0.9895815,-0.07123648,-0.1133549,352.5892,166.4763,7.006837
0,0.0258754,-1.009329,1.21259,-0.215663,-0.05301284,-0.9895199,-0.07127415,-0.1138431,352.5891,166.4191,7.016957
0,0.0445651,-1.009302,1.212655,-0.2157544,-0.05313253,-0.9894753,-0.07128463,-0.114168,352.5919,166.3805,7.033263
0,0.0579554,-1.009225,1.212642,-0.2157784,-0.05317812,-0.9894395,-0.07140681,-0.1143798,352.5801,166.3545,7.041869
0,0.0710175,-1.009088,1.21257,-0.2156992,-0.05316176,-0.9894188,-0.07138525,-0.1145797,352.5837,166.3317,7.041172
0,0.1012244,-1.008804,1.212508,-0.2157215,-0.05336501,-0.9893283,-0.07134749,-0.1152886,352.5959,166.2484,7.069215
0,0.1134898,-1.008763,1.212528,-0.2158759,-0.05349055,-0.9892853,-0.07131326,-0.1156194,352.6038,166.2094,7.085568
0,0.1247817,-1.00867,1.212521,-0.2159011,-0.05348675,-0.9892637,-0.07112853,-0.1159203,352.627,166.1763,7.084628
0,0.1367901,-1.008549,1.212364,-0.2158205,-0.05367081,-0.9892284,-0.07108898,-0.1161596,352.6357,166.1475,7.106916
0,0.1477534,-1.008484,1.212383,-0.215934,-0.05391702,-0.9891735,-0.07097623,-0.116582,352.655,166.0978,7.136584
0,0.161579,-1.008406,1.212314,-0.215951,-0.05420943,-0.9891222,-0.0706639,-0.1170711,352.6981,166.0419,7.16903
0,0.1733256,-1.008265,1.212127,-0.215873,-0.05444655,-0.9890792,-0.07046225,-0.1174442,352.727,165.9988,7.195913
